Time,Short Temp Sensor,Long Temp Sensor,A6581T,S7081
2020-07-05 01:19:57.597018,23.6640625,24.0234375,+10.0002979E+00,    10.0010715 
2020-07-05 01:20:53.363432,23.65625,24.015625,+10.0002969E+00,    10.0010638 
2020-07-05 01:21:48.969798,23.6484375,24.015625,+10.0002969E+00,    10.0010655 
2020-07-05 01:22:44.673226,23.65625,24.0234375,+10.0002971E+00,    10.0010635 
2020-07-05 01:23:40.275435,23.65625,24.015625,+10.0002970E+00,    10.0010639 
2020-07-05 01:24:35.981266,23.65625,24.0078125,+10.0002963E+00,    10.0010636 
2020-07-05 01:25:31.571913,23.6640625,24.0,+10.0002968E+00,    10.0010634 
2020-07-05 01:26:27.290895,23.671875,24.0,+10.0002982E+00,    10.0010617 
2020-07-05 01:27:22.893484,23.6875,24.0,+10.0002974E+00,    10.0010634 
2020-07-05 01:28:18.599864,23.703125,24.0,+10.0002967E+00,    10.0010625 
2020-07-05 01:29:14.186854,23.7109375,23.9921875,+10.0002978E+00,    10.0010628 
2020-07-05 01:30:09.908973,23.7265625,23.9921875,+10.0002975E+00,    10.0010609 
2020-07-05 01:31:05.614842,23.734375,23.9921875,+10.0002968E+00,    10.0010617 
2020-07-05 01:32:01.320029,23.7421875,23.9921875,+10.0002972E+00,    10.0010618 
2020-07-05 01:32:56.956291,23.75,23.9921875,+10.0002981E+00,    10.0010607 
2020-07-05 01:33:52.525720,23.7578125,23.9921875,+10.0002973E+00,    10.0010608 
2020-07-05 01:34:48.231256,23.7578125,23.9921875,+10.0002960E+00,    10.0010605 
2020-07-05 01:35:43.939206,23.765625,23.9921875,+10.0002974E+00,    10.0010587 
2020-07-05 01:36:39.541257,23.7734375,23.9921875,+10.0002977E+00,    10.0010603 
2020-07-05 01:37:35.246791,23.78125,23.9921875,+10.0002972E+00,    10.0010594 
2020-07-05 01:38:30.918643,23.7734375,23.9921875,+10.0002970E+00,    10.0010596 
2020-07-05 01:39:26.658161,23.7734375,24.0,+10.0002971E+00,    10.0010589 
2020-07-05 01:40:22.260610,23.78125,23.9921875,+10.0002981E+00,    10.0010588 
2020-07-05 01:41:17.966226,23.7890625,24.0,+10.0002984E+00,    10.0010582 
2020-07-05 01:42:13.675767,23.78125,24.0,+10.0002983E+00,    10.0010567 
2020-07-05 01:43:09.378169,23.78125,24.0,+10.0002974E+00,    10.0010587 
2020-07-05 01:44:04.970757,23.78125,24.0,+10.0002986E+00,    10.0010570 
