vref,3458A_volt,3458B_volt
-10.0,-9.999998945,-9.999999483
-9.5,-9.499999712,-9.499999824
-9.0,-8.99999936,-9.000000004
-8.5,-8.499999582,-8.500000257
-8.0,-7.999999598,-8.000000539
-7.5,-7.499999702,-7.500000646
-7.0,-6.999999748,-7.000001119
-6.5,-6.500000117,-6.500001665
-6.0,-5.999999765,-6.000001112
-5.5,-5.499999958,-5.50000135
-5.0,-5.000000548,-5.000001486
-4.5,-4.500000549,-4.500001798
-4.0,-4.000000639,-4.000002051
-3.5,-3.500000596,-3.500001923
-3.0,-3.000000302,-3.000001941
-2.5,-2.500000569,-2.500002019
-2.0,-2.000000629,-2.000002184
-1.5,-1.500000851,-1.500002378
-1.0,-1.000000572,-1.000002309
-0.5,-0.5000005291,-0.500001902
0.0,4.124301002e-07,-8.649615247e-07
0.5,0.5000008089,0.4999993658
1.0,1.000000366,0.9999989661
1.5,1.500000762,1.499999299
2.0,2.000000157,1.9999989
2.5,2.499999847,2.499998368
3.0,2.99999936,2.999998159
3.5,3.499998931,3.499998023
4.0,3.99999918,3.999998254
4.5,4.499998561,4.499997942
5.0,4.999998545,4.999997806
5.5,5.499997674,5.499997245
6.0,5.999997555,5.999996846
6.5,6.499997672,6.499997648
7.0,6.999997538,6.999997131
7.5,7.499996815,7.499996365
8.0,7.999996726,7.999996449
8.5,8.499996091,8.499995976
9.0,8.999995884,8.999995752
9.5,9.499996457,9.499996042
10.0,9.999995557,9.99999554
