vref,3458A_volt,3458B_volt
-10.0,-10.00038882,-10.00035503
-9.5,-9.500369736,-9.500336767
-9.0,-9.000350007,-9.000319097
-8.5,-8.500330967,-8.500301621
-8.0,-8.000312161,-8.000284769
-7.5,-7.500292271,-7.50026609
-7.0,-7.000273099,-7.000248985
-6.5,-6.500253707,-6.500230915
-6.0,-6.000233919,-6.000212786
-5.5,-5.500214586,-5.500195176
-5.0,-5.000195429,-5.000177893
-4.5,-4.500175964,-4.500160551
-4.0,-4.000155912,-4.000141932
-3.5,-3.50013674,-3.500124515
-3.0,-3.000117407,-3.000107024
-2.5,-2.500098235,-2.500089533
-2.0,-2.000077978,-2.000071448
-1.5,-1.500058498,-1.500053779
-1.0,-1.000039224,-1.000036615
-0.5,-0.5000194652,-0.5000185449
0.0,1.216809353e-06,-1.63294784e-07
0.5,0.4999852039,0.4999818036
1.0,0.9999677983,0.9999629837
1.5,1.499950671,1.499944104
2.0,1.999933647,1.999924735
2.5,2.4999163,2.499905708
3.0,2.999899466,2.999887006
3.5,3.499882617,3.499868172
4.0,3.999865564,3.999848921
4.5,4.499848964,4.499830072
5.0,4.999831588,4.999810807
5.5,5.49981452,5.499792046
6.0,5.999797085,5.999772736
6.5,6.499780999,6.499754377
7.0,6.999763197,6.999734562
7.5,7.499746173,7.49971552
8.0,7.999729236,7.999696536
8.5,8.499712432,8.499677256
9.0,8.999695173,8.999658466
9.5,9.499678353,9.499639453
10.0,9.999661564,9.999620633
