vref,3458A_volt,3458B_volt,3458F_volt
-10.0,-10.00038965,-10.00038319,-10.00039295
-9.75,-9.750379468,-9.750373264,-9.750383106
-9.5,-9.500370033,-9.500364318,-9.500373421
-9.25,-9.250359965,-9.250354316,-9.250363558
-9.0,-9.000350368,-9.000344592,-9.000353176
-8.75,-8.750340285,-8.750334634,-8.750342838
-8.5,-8.500331012,-8.500325761,-8.500333614
-8.25,-8.250321474,-8.250316521,-8.250323944
-8.0,-8.000311641,-8.000307018,-8.000314318
-7.75,-7.750301926,-7.750297015,-7.750303758
-7.5,-7.500292241,-7.500288025,-7.500294845
-7.25,-7.250282555,-7.250278419,-7.250284938
-7.0,-7.000273327,-7.000268681,-7.000275016
-6.75,-6.75026289,-6.750257946,-6.750264648
-6.5,-6.500253057,-6.500248647,-6.500254251
-6.25,-6.250243725,-6.250239891,-6.250245472
-6.0,-6.000234585,-6.000230388,-6.000235327
-5.75,-5.750224914,-5.750221295,-5.75022585
-5.5,-5.500214949,-5.500210853,-5.500215601
-5.25,-5.250205971,-5.250202141,-5.250206243
-5.0,-5.000195917,-5.00019189,-5.000196321
-4.75,-4.75018632,-4.750182357,-4.750186785
-4.5,-4.500176841,-4.50017278,-4.500176892
-4.25,-4.250166125,-4.250162895,-4.250166762
-4.0,-4.00015666,-4.000153274,-4.000156499
-3.75,-3.750147093,-3.750144034,-3.750147512
-3.5,-3.500137687,-3.500134282,-3.500137322
-3.25,-3.250128105,-3.250124837,-3.250127994
-3.0,-3.000118346,-3.000115201,-3.000118235
-2.75,-2.750108734,-2.750105727,-2.750108357
-2.5,-2.500098975,-2.50009593,-2.500098569
-2.25,-2.250089614,-2.250086676,-2.250089018
-2.0,-2.000078603,-2.000075809,-2.000078695
-1.75,-1.750069713,-1.750066657,-1.750068995
-1.5,-1.500059792,-1.500057447,-1.500059147
-1.25,-1.250050062,-1.250048075,-1.250050041
-1.0,-1.000040539,-1.000038014,-1.000039941
-0.75,-0.750030809,-0.7500283642,-0.7500303752
-0.5,-0.5000210942,-0.5000186553,-0.5000203194
-0.25,-0.2500113499,-0.2500088145,-0.250010709
0.0,-1.060556762e-06,1.68594046e-06,5.047314232e-07
0.25,0.24999089,0.2499933332,0.2499918855
0.5,0.4999825459,0.4999847899,0.499983281
0.75,0.7499737599,0.7499759094,0.7499749884
1.0,0.9999651654,0.9999670436,0.9999661316
1.25,1.24995688,1.249958618,1.249957468
1.5,1.499948359,1.49995003,1.49994919
1.75,1.749939706,1.749941135,1.749940645
2.0,1.99993092,1.999932533,1.999932026
2.25,2.249921795,2.249923726,2.249923525
2.5,2.499913525,2.499914758,2.499914579
2.75,2.749904547,2.749906009,2.749905782
3.0,2.999897043,2.999898228,2.999898306
3.25,3.249888272,3.249889538,3.249889776
3.5,3.499879338,3.499880921,3.499880904
3.75,3.7498707,3.749872232,3.749872418
4.0,3.99986184,3.999863586,3.999863903
4.25,4.249852686,4.249855116,4.249855506
4.5,4.499845122,4.499846924,4.499846872
4.75,4.74983613,4.749837663,4.749837822
5.0,4.999827329,4.999828841,4.999829292
5.25,5.249819,5.249820444,5.249820614
5.5,5.499809772,5.499811461,5.499811994
5.75,5.749801325,5.749802551,5.749803613
6.0,5.999793025,5.999793934,5.999794325
6.25,6.249785167,6.249786007,6.249787383
6.5,6.499776499,6.499777258,6.499778259
6.75,6.749767743,6.749768246,6.74976967
7.0,6.999759001,6.999759629,6.999760769
7.25,7.249750966,7.249750734,7.249751734
7.5,7.499741473,7.499741927,7.499742743
7.75,7.749733924,7.749733677,7.749734525
8.0,7.999724858,7.999725046,7.999725995
8.25,8.249716058,8.249716136,8.249717509
8.5,8.499707802,8.499707578,8.499708875
8.75,8.749698383,8.749698712,8.749699721
9.0,8.999690687,8.999690535,8.999691458
9.25,9.249682063,9.249681552,9.249682898
9.5,9.499673763,9.499673478,9.499674101
9.75,9.749665095,9.749664685,9.749666001
10.0,9.999656662,9.999655922,9.999657248
