vref,3458B_volt,3458F_volt
-10.0,-10.00038593,-10.00036526
-9.5,-9.500367278,-9.500347465
-9.0,-9.000347539,-9.000328601
-8.5,-8.50032846,-8.500310271
-8.0,-8.000309821,-8.000292015
-7.5,-7.500290156,-7.500273982
-7.0,-7.000271092,-7.000256009
-6.5,-6.500251368,-6.500237382
-6.0,-6.000232509,-6.000219706
-5.5,-5.500213107,-5.500201376
-5.0,-5.000193853,-5.000183269
-4.5,-4.500174466,-4.500165028
-4.0,-4.000154976,-4.000146401
-3.5,-3.500135942,-3.500128502
-3.0,-3.00011632,-3.000110365
-2.5,-2.5000973,-2.500092599
-2.0,-2.000077224,-2.000073483
-1.5,-1.500057911,-1.500055524
-1.0,-1.000038993,-1.000037476
-0.5,-0.5000192548,-0.5000194284
0.0,1.246130413e-06,-7.42250065e-08
0.5,0.4999844658,0.499981826
1.0,0.9999672162,0.9999633402
1.5,1.499949952,1.499944988
2.0,1.999932732,1.999926398
2.5,2.499915101,2.499907155
3.0,2.999899156,2.999889768
3.5,3.499881526,3.499871089
4.0,3.999864218,3.999852158
4.5,4.499847525,4.499834103
5.0,4.999829807,4.999815276
5.5,5.499812748,5.499797057
6.0,5.999795293,5.999777903
6.5,6.499779172,6.499759952
7.0,6.99976141,6.999741392
7.5,7.499744131,7.499722639
8.0,7.999727306,7.999704421
8.5,8.499709984,8.499685207
9.0,8.999692382,8.999666558
9.5,9.499676247,9.499649349
10.0,9.999658777,9.999630225
