vref,3458A_volt,3458B_volt,3458P_volt
-10.0,-10.00007909,-10.00009239,-10.00001175
-9.5,-9.500076201,-9.500088997,-9.500010796
-9.0,-9.000073501,-9.000085781,-9.00001032
-8.5,-8.500069697,-8.500081935,-8.500010408
-8.0,-8.000065819,-8.000077987,-8.000009531
-7.5,-7.500062177,-7.500074053,-7.500009337
-7.0,-7.000058858,-7.000070162,-7.000008683
-6.5,-6.500056468,-6.500066873,-6.500008683
-6.0,-6.000052708,-6.000062881,-6.000007954
-5.5,-5.500049566,-5.50005946,-5.500007864
-5.0,-5.000045998,-5.00005535,-5.000006839
-4.5,-4.500042179,-4.500051416,-4.500006675
-4.0,-4.000039037,-4.000047819,-4.000006154
-3.5,-3.500035601,-3.500043826,-3.500005485
-3.0,-3.000032224,-3.000039833,-3.000005173
-2.5,-2.500028714,-2.500035885,-2.500004608
-2.0,-2.000025322,-2.00003242,-2.000004429
-1.5,-1.500021871,-1.500028559,-1.500004294
-1.0,-1.000018185,-1.000024317,-1.000003358
-0.5,-0.5000146309,-0.5000201338,-0.5000027633
0.0,-1.232901021e-05,-1.716727846e-05,-3.490502599e-06
0.5,0.4999924181,0.4999878223,0.4999982925
1.0,0.9999972682,0.9999928853,1.000000269
1.5,1.500002575,1.499998667,1.500002958
2.0,2.000007587,2.000004199,2.000004518
2.5,2.500012732,2.500009716,2.500007014
3.0,3.000017243,3.000014823,3.000009005
3.5,3.500022285,3.500020575,3.500010922
4.0,4.000027607,4.000026195,4.000013106
4.5,4.500032722,4.500031786,4.500015215
5.0,5.000037808,5.000036951,5.000017266
5.5,5.50004307,5.500042747,5.500019494
6.0,6.000047862,6.00004822,6.000021456
6.5,6.50005336,6.500054368,6.500024056
7.0,7.000058195,7.000059402,7.00002572
7.5,7.500063591,7.500064787,7.50002826
8.0,8.000068411,8.000070158,8.000030058
8.5,8.500073733,8.500076057,8.500032703
9.0,9.000078583,9.000081134,9.000034367
9.5,9.50008361,9.500087223,9.500037487
10.0,10.00008873,10.00009251,10.00003934
