"Time","Arroyo TECSource Chamber Temp","3458A Vz"
2023-01-24 12:46:29,14.9770000 °C,
2023-01-24 12:46:31,,9.9711804
2023-01-24 12:46:31,14.9770000 °C,
2023-01-24 12:46:33,,9.9711803
2023-01-24 12:46:33,14.9770000 °C,
2023-01-24 12:46:35,,9.9711800
2023-01-24 12:46:35,14.9770000 °C,
2023-01-24 12:46:37,,9.9711803
2023-01-24 12:46:37,14.9780000 °C,
2023-01-24 12:46:39,,9.9711802
2023-01-24 12:46:39,14.9780000 °C,
2023-01-24 12:46:41,,9.9711800
2023-01-24 12:46:41,14.9780000 °C,
2023-01-24 12:46:43,,9.9711798
2023-01-24 12:46:43,14.9780000 °C,
2023-01-24 12:46:45,,9.9711800
2023-01-24 12:46:45,14.9780000 °C,
2023-01-24 12:46:47,,9.9711798
2023-01-24 12:46:47,14.9780000 °C,
2023-01-24 12:46:49,,9.9711799
2023-01-24 12:46:49,14.9780000 °C,
2023-01-24 12:46:51,,9.9711799
2023-01-24 12:46:51,14.9780000 °C,
2023-01-24 12:46:53,,9.9711800
2023-01-24 12:46:53,14.9780000 °C,
2023-01-24 12:46:55,,9.9711804
2023-01-24 12:46:55,14.9780000 °C,
2023-01-24 12:46:57,,9.9711800
2023-01-24 12:46:57,14.9780000 °C,
2023-01-24 12:46:59,,9.9711795
2023-01-24 12:46:59,14.9780000 °C,
2023-01-24 12:47:01,,9.9711799
2023-01-24 12:47:01,14.9780000 °C,
2023-01-24 12:47:03,,9.9711800
2023-01-24 12:47:03,14.9780000 °C,
2023-01-24 12:47:05,,9.9711802
2023-01-24 12:47:05,14.9790000 °C,
2023-01-24 12:47:07,,9.9711804
2023-01-24 12:47:07,14.9790000 °C,
2023-01-24 12:47:09,,9.9711800
2023-01-24 12:47:09,14.9790000 °C,
2023-01-24 12:47:11,,9.9711801
2023-01-24 12:47:11,14.9790000 °C,
2023-01-24 12:47:13,,9.9711800
2023-01-24 12:47:13,14.9810000 °C,
2023-01-24 12:47:15,,9.9711796
2023-01-24 12:47:15,14.9830000 °C,
2023-01-24 12:47:17,,9.9711798
2023-01-24 12:47:17,14.9870000 °C,
2023-01-24 12:47:19,,9.9711795
2023-01-24 12:47:19,14.9910000 °C,
2023-01-24 12:47:21,,9.9711799
2023-01-24 12:47:21,14.9950000 °C,
2023-01-24 12:47:23,,9.9711798
2023-01-24 12:47:23,15.0000000 °C,
2023-01-24 12:47:25,,9.9711795
2023-01-24 12:47:25,15.0060000 °C,
2023-01-24 12:47:27,,9.9711793
2023-01-24 12:47:27,15.0110000 °C,
2023-01-24 12:47:29,,9.9711797
2023-01-24 12:47:29,15.0160000 °C,
2023-01-24 12:47:31,,9.9711798
2023-01-24 12:47:31,15.0220000 °C,
2023-01-24 12:47:33,,9.9711796
2023-01-24 12:47:33,15.0290000 °C,
2023-01-24 12:47:35,,9.9711794
2023-01-24 12:47:35,15.0370000 °C,
2023-01-24 12:47:37,,9.9711794
2023-01-24 12:47:37,15.0460000 °C,
2023-01-24 12:47:39,,9.9711796
2023-01-24 12:47:39,15.0550000 °C,
2023-01-24 12:47:41,,9.9711799
2023-01-24 12:47:41,15.0640000 °C,
2023-01-24 12:47:43,,9.9711796
2023-01-24 12:47:43,15.0740000 °C,
2023-01-24 12:47:45,,9.9711801
2023-01-24 12:47:45,15.0840000 °C,
2023-01-24 12:47:47,,9.9711799
2023-01-24 12:47:47,15.0930000 °C,
2023-01-24 12:47:49,,9.9711800
2023-01-24 12:47:49,15.1020000 °C,
2023-01-24 12:47:51,,9.9711801
2023-01-24 12:47:51,15.1120000 °C,
2023-01-24 12:47:53,,9.9711802
2023-01-24 12:47:53,15.1220000 °C,
2023-01-24 12:47:55,,9.9711799
2023-01-24 12:47:55,15.1330000 °C,
2023-01-24 12:47:57,,9.9711794
2023-01-24 12:47:57,15.1440000 °C,
2023-01-24 12:47:59,,9.9711795
2023-01-24 12:47:59,15.1560000 °C,
2023-01-24 12:48:01,,9.9711798
2023-01-24 12:48:01,15.1680000 °C,
2023-01-24 12:48:03,,9.9711798
2023-01-24 12:48:03,15.1790000 °C,
2023-01-24 12:48:05,,9.9711798
2023-01-24 12:48:05,15.1910000 °C,
2023-01-24 12:48:07,,9.9711799
2023-01-24 12:48:07,15.2020000 °C,
2023-01-24 12:48:09,,9.9711795
2023-01-24 12:48:09,15.2130000 °C,
2023-01-24 12:48:11,,9.9711791
2023-01-24 12:48:11,15.2230000 °C,
2023-01-24 12:48:13,,9.9711791
2023-01-24 12:48:13,15.2350000 °C,
2023-01-24 12:48:15,,9.9711791
2023-01-24 12:48:15,15.2460000 °C,
2023-01-24 12:48:17,,9.9711790
2023-01-24 12:48:17,15.2580000 °C,
2023-01-24 12:48:19,,9.9711794
2023-01-24 12:48:19,15.2710000 °C,
2023-01-24 12:48:21,,9.9711788
2023-01-24 12:48:21,15.2830000 °C,
2023-01-24 12:48:23,,9.9711791
2023-01-24 12:48:23,15.2950000 °C,
2023-01-24 12:48:25,,9.9711795
2023-01-24 12:48:25,15.3060000 °C,
2023-01-24 12:48:27,,9.9711796
2023-01-24 12:48:27,15.3180000 °C,
2023-01-24 12:48:29,,9.9711796
2023-01-24 12:48:29,15.3290000 °C,
2023-01-24 12:48:31,,9.9711793
2023-01-24 12:48:31,15.3400000 °C,
2023-01-24 12:48:33,,9.9711791
2023-01-24 12:48:33,15.3510000 °C,
2023-01-24 12:48:35,,9.9711795
2023-01-24 12:48:35,15.3620000 °C,
2023-01-24 12:48:37,,9.9711792
2023-01-24 12:48:37,15.3750000 °C,
2023-01-24 12:48:39,15.3870000 °C,
2023-01-24 12:48:41,,9.9711791
2023-01-24 12:48:41,15.3990000 °C,
2023-01-24 12:48:43,15.4100000 °C,
2023-01-24 12:48:45,,9.9711794
2023-01-24 12:48:45,15.4220000 °C,
2023-01-24 12:48:47,15.4330000 °C,
2023-01-24 12:48:49,,9.9711796
2023-01-24 12:48:49,15.4440000 °C,
2023-01-24 12:48:51,15.4540000 °C,
2023-01-24 12:48:53,,9.9711791
2023-01-24 12:48:53,15.4650000 °C,
2023-01-24 12:48:55,15.4760000 °C,
2023-01-24 12:48:57,,9.9711791
2023-01-24 12:48:57,15.4880000 °C,
2023-01-24 12:48:59,15.5000000 °C,
2023-01-24 12:49:01,,9.9711793
2023-01-24 12:49:01,15.5110000 °C,
2023-01-24 12:49:03,15.5230000 °C,
2023-01-24 12:49:05,,9.9711793
2023-01-24 12:49:05,15.5340000 °C,
2023-01-24 12:49:07,15.5440000 °C,
2023-01-24 12:49:09,,9.9711793
2023-01-24 12:49:09,15.5550000 °C,
2023-01-24 12:49:11,15.5650000 °C,
2023-01-24 12:49:13,,9.9711787
2023-01-24 12:49:13,15.5750000 °C,
2023-01-24 12:49:15,15.5860000 °C,
2023-01-24 12:49:17,,9.9711794
2023-01-24 12:49:17,15.5970000 °C,
2023-01-24 12:49:19,15.6090000 °C,
2023-01-24 12:49:21,,9.9711790
2023-01-24 12:49:21,15.6200000 °C,
2023-01-24 12:49:23,15.6310000 °C,
2023-01-24 12:49:25,,9.9711791
2023-01-24 12:49:25,15.6410000 °C,
2023-01-24 12:49:27,,9.9711790
2023-01-24 12:49:27,15.6520000 °C,
2023-01-24 12:49:29,,9.9711791
2023-01-24 12:49:29,15.6620000 °C,
2023-01-24 12:49:31,,9.9711796
2023-01-24 12:49:31,15.6710000 °C,
2023-01-24 12:49:33,,9.9711794
2023-01-24 12:49:33,15.6810000 °C,
2023-01-24 12:49:35,,9.9711791
2023-01-24 12:49:35,15.6920000 °C,
2023-01-24 12:49:37,,9.9711793
2023-01-24 12:49:37,15.7030000 °C,
2023-01-24 12:49:39,,9.9711793
2023-01-24 12:49:39,15.7140000 °C,
2023-01-24 12:49:41,,9.9711793
2023-01-24 12:49:41,15.7250000 °C,
2023-01-24 12:49:43,,9.9711790
2023-01-24 12:49:43,15.7350000 °C,
2023-01-24 12:49:45,,9.9711789
2023-01-24 12:49:45,15.7460000 °C,
2023-01-24 12:49:47,,9.9711788
2023-01-24 12:49:47,15.7560000 °C,
2023-01-24 12:49:49,,9.9711784
2023-01-24 12:49:49,15.7650000 °C,
2023-01-24 12:49:51,,9.9711787
2023-01-24 12:49:51,15.7740000 °C,
2023-01-24 12:49:53,,9.9711786
2023-01-24 12:49:53,15.7840000 °C,
2023-01-24 12:49:55,,9.9711788
2023-01-24 12:49:55,15.7940000 °C,
2023-01-24 12:49:57,,9.9711785
2023-01-24 12:49:57,15.8050000 °C,
2023-01-24 12:49:59,,9.9711785
2023-01-24 12:49:59,15.8160000 °C,
2023-01-24 12:50:01,,9.9711783
2023-01-24 12:50:01,15.8260000 °C,
2023-01-24 12:50:03,,9.9711789
2023-01-24 12:50:03,15.8370000 °C,
2023-01-24 12:50:05,,9.9711788
2023-01-24 12:50:05,15.8470000 °C,
2023-01-24 12:50:07,,9.9711790
2023-01-24 12:50:07,15.8570000 °C,
2023-01-24 12:50:09,,9.9711790
2023-01-24 12:50:09,15.8660000 °C,
2023-01-24 12:50:11,,9.9711791
2023-01-24 12:50:11,15.8760000 °C,
2023-01-24 12:50:13,,9.9711790
2023-01-24 12:50:13,15.8850000 °C,
2023-01-24 12:50:15,,9.9711789
2023-01-24 12:50:15,15.8950000 °C,
2023-01-24 12:50:17,,9.9711787
2023-01-24 12:50:17,15.9060000 °C,
2023-01-24 12:50:19,,9.9711786
2023-01-24 12:50:19,15.9170000 °C,
2023-01-24 12:50:21,,9.9711791
2023-01-24 12:50:21,15.9270000 °C,
2023-01-24 12:50:23,,9.9711790
2023-01-24 12:50:23,15.9380000 °C,
2023-01-24 12:50:25,,9.9711792
2023-01-24 12:50:25,15.9480000 °C,
2023-01-24 12:50:27,,9.9711787
2023-01-24 12:50:27,15.9570000 °C,
2023-01-24 12:50:29,,9.9711789
2023-01-24 12:50:29,15.9670000 °C,
2023-01-24 12:50:31,,9.9711789
2023-01-24 12:50:31,15.9760000 °C,
2023-01-24 12:50:33,,9.9711793
2023-01-24 12:50:33,15.9860000 °C,
2023-01-24 12:50:35,,9.9711795
2023-01-24 12:50:35,15.9960000 °C,
2023-01-24 12:50:37,,9.9711792
2023-01-24 12:50:37,16.0060000 °C,
2023-01-24 12:50:39,,9.9711789
2023-01-24 12:50:39,16.0170000 °C,
2023-01-24 12:50:41,,9.9711789
2023-01-24 12:50:41,16.0280000 °C,
2023-01-24 12:50:43,,9.9711795
2023-01-24 12:50:43,16.0380000 °C,
2023-01-24 12:50:45,,9.9711794
2023-01-24 12:50:45,16.0480000 °C,
2023-01-24 12:50:47,,9.9711796
2023-01-24 12:50:47,16.0580000 °C,
2023-01-24 12:50:49,,9.9711793
2023-01-24 12:50:49,16.0670000 °C,
2023-01-24 12:50:51,,9.9711790
2023-01-24 12:50:51,16.0760000 °C,
2023-01-24 12:50:53,,9.9711791
2023-01-24 12:50:53,16.0860000 °C,
2023-01-24 12:50:55,,9.9711791
2023-01-24 12:50:55,16.0960000 °C,
2023-01-24 12:50:57,,9.9711792
2023-01-24 12:50:57,16.1070000 °C,
2023-01-24 12:50:59,,9.9711794
2023-01-24 12:50:59,16.1170000 °C,
2023-01-24 12:51:01,,9.9711790
2023-01-24 12:51:01,16.1280000 °C,
2023-01-24 12:51:03,,9.9711791
2023-01-24 12:51:03,16.1380000 °C,
2023-01-24 12:51:05,,9.9711792
2023-01-24 12:51:05,16.1480000 °C,
2023-01-24 12:51:07,,9.9711796
2023-01-24 12:51:07,16.1580000 °C,
2023-01-24 12:51:09,,9.9711796
2023-01-24 12:51:09,16.1670000 °C,
2023-01-24 12:51:11,,9.9711796
2023-01-24 12:51:11,16.1760000 °C,
2023-01-24 12:51:13,,9.9711798
2023-01-24 12:51:13,16.1860000 °C,
2023-01-24 12:51:15,,9.9711799
2023-01-24 12:51:15,16.1960000 °C,
2023-01-24 12:51:17,,9.9711798
2023-01-24 12:51:17,16.2070000 °C,
2023-01-24 12:51:19,,9.9711793
2023-01-24 12:51:19,16.2170000 °C,
2023-01-24 12:51:21,,9.9711795
2023-01-24 12:51:21,16.2280000 °C,
2023-01-24 12:51:23,,9.9711793
2023-01-24 12:51:23,16.2380000 °C,
2023-01-24 12:51:25,,9.9711793
2023-01-24 12:51:25,16.2480000 °C,
2023-01-24 12:51:27,,9.9711794
2023-01-24 12:51:27,16.2580000 °C,
2023-01-24 12:51:29,,9.9711792
2023-01-24 12:51:29,16.2670000 °C,
2023-01-24 12:51:31,,9.9711795
2023-01-24 12:51:31,16.2760000 °C,
2023-01-24 12:51:33,16.2860000 °C,
2023-01-24 12:51:35,,9.9711793
2023-01-24 12:51:35,16.2960000 °C,
2023-01-24 12:51:37,16.3060000 °C,
2023-01-24 12:51:39,,9.9711796
2023-01-24 12:51:39,16.3170000 °C,
2023-01-24 12:51:41,16.3270000 °C,
2023-01-24 12:51:43,,9.9711796
2023-01-24 12:51:43,16.3370000 °C,
2023-01-24 12:51:45,16.3480000 °C,
2023-01-24 12:51:47,,9.9711795
2023-01-24 12:51:47,16.3570000 °C,
2023-01-24 12:51:49,16.3670000 °C,
2023-01-24 12:51:51,,9.9711789
2023-01-24 12:51:51,16.3760000 °C,
2023-01-24 12:51:53,16.3850000 °C,
2023-01-24 12:51:55,,9.9711791
2023-01-24 12:51:55,16.3950000 °C,
2023-01-24 12:51:57,16.4060000 °C,
2023-01-24 12:51:59,,9.9711788
2023-01-24 12:51:59,16.4170000 °C,
2023-01-24 12:52:01,16.4270000 °C,
2023-01-24 12:52:03,,9.9711793
2023-01-24 12:52:03,16.4370000 °C,
2023-01-24 12:52:05,16.4470000 °C,
2023-01-24 12:52:07,,9.9711793
2023-01-24 12:52:07,16.4570000 °C,
2023-01-24 12:52:09,16.4660000 °C,
2023-01-24 12:52:11,,9.9711794
2023-01-24 12:52:11,16.4760000 °C,
2023-01-24 12:52:13,16.4850000 °C,
2023-01-24 12:52:15,,9.9711793
2023-01-24 12:52:15,16.4950000 °C,
2023-01-24 12:52:17,16.5060000 °C,
2023-01-24 12:52:19,,9.9711797
2023-01-24 12:52:19,16.5160000 °C,
2023-01-24 12:52:21,,9.9711792
2023-01-24 12:52:21,16.5270000 °C,
2023-01-24 12:52:23,,9.9711794
2023-01-24 12:52:23,16.5370000 °C,
2023-01-24 12:52:25,,9.9711792
2023-01-24 12:52:25,16.5470000 °C,
