"Time","Arroyo TECSource Chamber Temp","3458A Vz"
2023-03-13 21:58:15,,10.0916825
2023-03-13 21:58:15,15.0000000,
2023-03-13 21:58:17,,10.0916824
2023-03-13 21:58:17,15.0000000,
2023-03-13 21:58:19,,10.0916825
2023-03-13 21:58:19,15.0000000,
2023-03-13 21:58:21,,10.0916824
2023-03-13 21:58:21,15.0000000,
2023-03-13 21:58:23,,10.0916823
2023-03-13 21:58:23,15.0000000,
2023-03-13 21:58:25,,10.0916825
2023-03-13 21:58:25,15.0000000,
2023-03-13 21:58:27,,10.0916826
2023-03-13 21:58:27,15.0000000,
2023-03-13 21:58:29,,10.0916825
2023-03-13 21:58:29,15.0000000,
2023-03-13 21:58:31,,10.0916828
2023-03-13 21:58:31,15.0000000,
2023-03-13 21:58:33,,10.0916823
2023-03-13 21:58:33,15.0000000,
2023-03-13 21:58:35,,10.0916825
2023-03-13 21:58:35,15.0000000,
2023-03-13 21:58:37,,10.0916825
2023-03-13 21:58:37,15.0000000,
2023-03-13 21:58:39,,10.0916822
2023-03-13 21:58:39,15.0000000,
2023-03-13 21:58:41,,10.0916821
2023-03-13 21:58:41,15.0000000,
2023-03-13 21:58:43,,10.0916828
2023-03-13 21:58:43,15.0000000,
2023-03-13 21:58:45,,10.0916826
2023-03-13 21:58:45,15.0000000,
2023-03-13 21:58:47,,10.0916827
2023-03-13 21:58:47,15.0000000,
2023-03-13 21:58:49,,10.0916829
2023-03-13 21:58:49,15.0000000,
2023-03-13 21:58:51,15.0000000,
2023-03-13 21:58:53,,10.0916820
2023-03-13 21:58:53,15.0000000,
2023-03-13 21:58:55,15.0000000,
2023-03-13 21:58:57,,10.0916826
2023-03-13 21:58:57,15.0000000,
2023-03-13 21:58:59,15.0000000,
2023-03-13 21:59:01,,10.0916824
2023-03-13 21:59:01,15.0000000,
2023-03-13 21:59:03,15.0000000,
2023-03-13 21:59:05,,10.0916825
2023-03-13 21:59:05,15.0000000,
2023-03-13 21:59:07,15.0000000,
2023-03-13 21:59:09,,10.0916828
2023-03-13 21:59:09,15.0000000,
2023-03-13 21:59:11,15.0000000,
2023-03-13 21:59:13,,10.0916821
2023-03-13 21:59:13,15.0000000,
2023-03-13 21:59:15,15.0000000,
2023-03-13 21:59:17,,10.0916822
2023-03-13 21:59:17,15.0000000,
2023-03-13 21:59:19,15.0000000,
2023-03-13 21:59:21,,10.0916825
2023-03-13 21:59:21,15.0000000,
2023-03-13 21:59:23,15.0000000,
2023-03-13 21:59:25,,10.0916821
2023-03-13 21:59:25,15.0000000,
2023-03-13 21:59:27,15.0000000,
2023-03-13 21:59:29,,10.0916824
2023-03-13 21:59:29,15.0000000,
2023-03-13 21:59:31,15.0000000,
2023-03-13 21:59:33,,10.0916825
2023-03-13 21:59:33,15.0000000,
2023-03-13 21:59:35,15.0000000,
2023-03-13 21:59:37,,10.0916824
2023-03-13 21:59:37,15.0000000,
2023-03-13 21:59:39,,10.0916826
2023-03-13 21:59:39,14.9990000,
2023-03-13 21:59:41,,10.0916825
2023-03-13 21:59:41,14.9990000,
2023-03-13 21:59:43,,10.0916827
2023-03-13 21:59:43,14.9990000,
2023-03-13 21:59:45,,10.0916825
2023-03-13 21:59:45,15.0000000,
2023-03-13 21:59:47,,10.0916823
2023-03-13 21:59:47,15.0000000,
2023-03-13 21:59:49,,10.0916825
2023-03-13 21:59:49,15.0000000,
2023-03-13 21:59:51,,10.0916829
2023-03-13 21:59:51,15.0000000,
2023-03-13 21:59:53,,10.0916826
2023-03-13 21:59:53,15.0000000,
2023-03-13 21:59:55,,10.0916827
2023-03-13 21:59:55,15.0000000,
2023-03-13 21:59:57,,10.0916827
2023-03-13 21:59:57,15.0000000,
2023-03-13 21:59:59,,10.0916822
2023-03-13 21:59:59,15.0000000,
2023-03-13 22:00:01,,10.0916822
2023-03-13 22:00:01,15.0000000,
2023-03-13 22:00:03,,10.0916824
2023-03-13 22:00:03,15.0000000,
2023-03-13 22:00:05,,10.0916826
2023-03-13 22:00:05,15.0000000,
2023-03-13 22:00:07,,10.0916824
2023-03-13 22:00:07,15.0000000,
2023-03-13 22:00:09,,10.0916828
2023-03-13 22:00:09,15.0000000,
2023-03-13 22:00:11,,10.0916829
2023-03-13 22:00:11,15.0000000,
2023-03-13 22:00:13,,10.0916832
2023-03-13 22:00:13,15.0000000,
2023-03-13 22:00:15,,10.0916827
2023-03-13 22:00:15,15.0000000,
2023-03-13 22:00:17,,10.0916829
2023-03-13 22:00:17,15.0000000,
2023-03-13 22:00:19,,10.0916829
2023-03-13 22:00:19,15.0000000,
2023-03-13 22:00:21,,10.0916825
2023-03-13 22:00:21,15.0000000,
2023-03-13 22:00:23,,10.0916826
2023-03-13 22:00:23,15.0000000,
2023-03-13 22:00:25,,10.0916826
2023-03-13 22:00:25,15.0000000,
2023-03-13 22:00:27,,10.0916823
2023-03-13 22:00:27,15.0000000,
2023-03-13 22:00:29,,10.0916822
2023-03-13 22:00:29,15.0000000,
2023-03-13 22:00:31,,10.0916820
2023-03-13 22:00:31,15.0000000,
2023-03-13 22:00:33,,10.0916824
2023-03-13 22:00:33,15.0000000,
2023-03-13 22:00:35,,10.0916822
2023-03-13 22:00:35,15.0000000,
2023-03-13 22:00:37,,10.0916821
2023-03-13 22:00:37,15.0000000,
2023-03-13 22:00:39,,10.0916821
2023-03-13 22:00:39,15.0000000,
2023-03-13 22:00:41,,10.0916820
2023-03-13 22:00:41,15.0000000,
2023-03-13 22:00:43,,10.0916825
2023-03-13 22:00:43,15.0000000,
2023-03-13 22:00:45,,10.0916824
2023-03-13 22:00:45,15.0000000,
2023-03-13 22:00:47,,10.0916824
2023-03-13 22:00:47,15.0000000,
2023-03-13 22:00:49,,10.0916823
2023-03-13 22:00:49,15.0000000,
2023-03-13 22:00:51,,10.0916821
2023-03-13 22:00:51,15.0000000,
2023-03-13 22:00:53,,10.0916826
2023-03-13 22:00:53,15.0000000,
2023-03-13 22:00:55,,10.0916823
2023-03-13 22:00:55,15.0000000,
2023-03-13 22:00:57,,10.0916824
2023-03-13 22:00:57,15.0000000,
2023-03-13 22:00:59,,10.0916822
2023-03-13 22:00:59,15.0000000,
2023-03-13 22:01:01,,10.0916820
2023-03-13 22:01:01,15.0000000,
2023-03-13 22:01:03,,10.0916821
