vref,3458A_volt,3458B_volt,W4950_volt
-11.0,-10.99996229,-11.00002476,-10.999985
-10.75,-10.74996319,-10.75002403,-10.749985
-10.5,-10.49996467,-10.50002422,-10.499985
-10.25,-10.24996512,-10.2500242,-10.249985
-10.0,-9.999965833,-10.00002358,-9.999985
-9.75,-9.749966709,-9.750023857,-9.749985
-9.5,-9.49996785,-9.500023294,-9.499986
-9.25,-9.249968976,-9.2500237,-9.249986
-9.0,-8.999970382,-9.000023328,-8.999986
-8.75,-8.749971067,-8.75002278,-8.749986
-8.5,-8.499972664,-8.500022818,-8.499986
-8.25,-8.249973069,-8.250022461,-8.249986
-8.0,-7.99997284,-8.000022016,-7.999987
-7.75,-7.749975277,-7.750023374,-7.749988
-7.5,-7.499976036,-7.500022753,-7.499988
-7.25,-7.249976749,-7.250022733,-7.249988
-7.0,-6.999978126,-7.000022654,-6.999988
-6.75,-6.749978457,-6.750022766,-6.749989
-6.5,-6.499979274,-6.50002194,-6.499988
-6.25,-6.249979929,-6.250021993,-6.249988
-6.0,-5.999980937,-6.000022252,-5.999989
-5.75,-5.749981519,-5.750021411,-5.749989
-5.5,-5.499982439,-5.500021229,-5.499989
-5.25,-5.249982902,-5.250021297,-5.249989
-5.0,-4.999984029,-5.000020852,-4.999989
-4.75,-4.749985391,-4.750020847,-4.74999
-4.5,-4.499985972,-4.500020328,-4.49999
-4.25,-4.249986568,-4.250020337,-4.24999
-4.0,-3.999987341,-4.000019878,-3.99999
-3.75,-3.749988217,-3.750019755,-3.74999
-3.5,-3.499989063,-3.500019618,-3.49999
-3.25,-3.249989733,-3.250018879,-3.249991
-3.0,-2.999990388,-3.000018771,-2.999991
-2.75,-2.74999144,-2.750018238,-2.749991
-2.5,-2.499992139,-2.500017954,-2.499991
-2.25,-2.249993074,-2.250017494,-2.24999
-2.0,-1.999994908,-2.000018354,-1.999992
-1.75,-1.749995975,-1.750018261,-1.749992
-1.5,-1.499996497,-1.500017669,-1.499992
-1.25,-1.249996873,-1.250017268,-1.249992
-1.0,-0.9999978368,-1.00001691,-0.999992
-0.75,-0.7499983003,-0.7500163185,-0.749992
-0.5,-0.4999986754,-0.5000158294,-0.499992
-0.25,-0.2499987853,-0.2500151496,-0.249992
0.0,-2.165337709e-06,-1.636104006e-05,6e-06
0.25,0.2499977836,0.249984436,0.250006
0.5,0.4999974822,0.4999852184,0.500007
0.75,0.7499967978,0.7499859128,0.750007
1.0,0.9999963785,0.9999860648,1.000007
1.25,1.24999565,1.249986789,1.250007
1.5,1.499995098,1.499987248,1.500007
1.75,1.749994473,1.749987899,1.750007
2.0,1.999993847,1.999988168,2.000007
2.25,2.249991749,2.249987147,2.250005
2.5,2.49999077,2.499987241,2.500006
2.75,2.749990041,2.749987803,2.750006
3.0,2.999989106,2.999988204,3.000006
3.25,3.249988599,3.24998862,3.250006
3.5,3.499987708,3.499989344,3.500006
3.75,3.749987303,3.749989672,3.750006
4.0,3.999986339,3.999989809,4.000005
4.25,4.249986303,4.249990577,4.250005
4.5,4.499985368,4.499990758,4.500005
4.75,4.749984242,4.749991189,4.750005
5.0,4.999983307,4.999991194,5.000005
5.25,5.249981797,5.249991991,5.250004
5.5,5.499981629,5.499992495,5.500004
5.75,5.749980753,5.749992661,5.750005
6.0,5.999980289,5.999993415,6.000005
6.25,6.249979929,6.249993493,6.250004
6.5,6.499979451,6.499994393,6.500005
6.75,6.749978207,6.749994647,6.750004
7.0,6.999977861,6.999994917,7.000003
7.25,7.249977044,7.249995772,7.250004
7.5,7.499975873,7.499995851,7.500003
7.75,7.749975646,7.749996355,7.750004
8.0,7.999973886,7.999994909,8.000002
8.25,8.249973113,8.249995545,8.250002
8.5,8.499971736,8.499996063,8.500003
8.75,8.749971347,8.749996376,8.750002
9.0,8.999970677,8.99999644,9.000002
9.25,9.24997039,9.249997194,9.250002
9.5,9.499969014,9.499997521,9.500003
9.75,9.749968609,9.749998172,9.750002
10.0,9.999967247,9.999998353,10.000003
10.25,10.24996659,10.24999896,10.250002
10.5,10.49996614,10.49999932,10.500003
10.75,10.74996502,10.74999954,10.750003
11.0,10.99996329,11.00000034,11.000003
