# INL run
# wait_settle = 20
# samples_per_meter_per_step = 1
# NPLC = 100
vref,3458A_volt,3458B_volt,W4950_volt
-11.0,-10.99996357,-11.00002265,-10.999986
-10.75,-10.74996384,-10.75002234,-10.749988
-10.5,-10.49996504,-10.50002219,-10.499987
-10.25,-10.24996559,-10.2500225,-10.249988
-10.0,-9.999966474,-10.00002212,-9.999987
-9.75,-9.749967333,-9.750021677,-9.749988
-9.5,-9.499968604,-9.50002191,-9.499988
-9.25,-9.249969948,-9.250021776,-9.249988
-9.0,-8.999970792,-9.000021261,-8.999988
-8.75,-8.749971621,-8.750021039,-8.749989
-8.5,-8.499972214,-8.500020964,-8.499988
-8.25,-8.249972969,-8.250021109,-8.249988
-8.0,-7.999973783,-8.000020976,-7.999988
-7.75,-7.749976247,-7.750021634,-7.74999
-7.5,-7.499976413,-7.500022204,-7.499989
-7.25,-7.249977611,-7.250021791,-7.24999
-7.0,-6.999977615,-7.000020998,-6.999989
-6.75,-6.749978812,-6.750021451,-6.74999
-6.5,-6.499979332,-6.500020775,-6.49999
-6.25,-6.24998047,-6.250021095,-6.24999
-6.0,-5.999981225,-6.000020654,-5.99999
-5.75,-5.749981789,-5.750020403,-5.74999
-5.5,-5.499982146,-5.500019947,-5.49999
-5.25,-5.249983049,-5.250020018,-5.24999
-5.0,-4.99998429,-5.000019372,-4.99999
-4.75,-4.749985826,-4.75001937,-4.74999
-4.5,-4.499986449,-4.500019016,-4.499991
-4.25,-4.249987175,-4.250018604,-4.249991
-4.0,-3.999987886,-4.00001869,-3.999991
-3.75,-3.7499887,-3.750018249,-3.749991
-3.5,-3.499989264,-3.500018203,-3.499991
-3.25,-3.249990461,-3.250017571,-3.249991
-3.0,-2.999990981,-3.000017599,-2.999991
-2.75,-2.74999153,-2.750017274,-2.749991
-2.5,-2.499992123,-2.500016686,-2.499991
-2.25,-2.249992849,-2.250016494,-2.24999
-2.0,-1.999994886,-2.000017636,-1.999992
-1.75,-1.74999595,-1.750017223,-1.749993
-1.5,-1.499996455,-1.500017398,-1.499992
-1.25,-1.249997417,-1.250016707,-1.249993
-1.0,-0.9999976859,-1.000016441,-0.999993
-0.75,-0.7499987358,-0.750016161,-0.749992
-0.5,-0.4999988577,-0.500015089,-0.499992
-0.25,-0.2499992889,-0.2500142956,-0.249992
0.0,-2.312639074e-06,-1.614113053e-05,5e-06
0.25,0.249997374,0.2499844177,0.250006
0.5,0.4999971048,0.4999847566,0.500006
0.75,0.7499964968,0.7499856233,0.750006
1.0,0.9999960509,0.9999861381,1.000006
1.25,1.249995428,1.249986521,1.250007
1.5,1.499994496,1.499986875,1.500007
1.75,1.749993829,1.749987477,1.750007
2.0,1.999993442,1.999987787,2.000007
2.25,2.249991155,2.24998644,2.250005
2.5,2.499990311,2.499987028,2.500005
2.75,2.749989939,2.749987734,2.750005
3.0,2.999988933,2.999987281,3.000005
3.25,3.24998834,3.249988177,3.250005
3.5,3.499987909,3.499988882,3.500006
3.75,3.749987257,3.749988884,3.750006
4.0,3.999985824,3.999989428,4.000005
4.25,4.249985555,4.249989694,4.250006
4.5,4.49998477,4.499990194,4.500005
4.75,4.749984221,4.749990591,4.750005
5.0,4.999983083,4.999989977,5.000006
5.25,5.24998246,5.249991123,5.250005
5.5,5.499981808,5.499991051,5.500004
5.75,5.749981008,5.74999095,5.750005
6.0,5.999980076,5.999991509,6.000005
6.25,6.249979527,6.249991628,6.250005
6.5,6.499979184,6.499991908,6.500005
6.75,6.749978002,6.749992804,6.750005
7.0,6.999976731,6.999992997,7.000004
7.25,7.249976638,7.249993423,7.250005
7.5,7.49997578,7.499993469,7.500004
7.75,7.749974745,7.749993969,7.750004
8.0,7.999972944,7.999993238,8.000002
8.25,8.249972012,8.249992683,8.250003
8.5,8.499971124,8.499993432,8.500002
8.75,8.749970604,8.749993654,8.750002
9.0,8.999970041,8.999993802,9.000002
9.25,9.249968681,9.249994229,9.250003
9.5,9.499968309,9.499994465,9.500003
9.75,9.74996751,9.749995376,9.750003
10.0,9.999967417,9.999995172,10.000002
10.25,10.24996657,10.24999582,10.250003
10.5,10.49996508,10.49999626,10.500003
10.75,10.74996478,10.74999645,10.750003
11.0,10.99996345,10.99999673,11.000003
