# INL run# wait_settle = 20# samples_per_meter_per_step = 1# NPLC = 100vref,3458A_volt,3458B_volt,W4950_volt
-11.0,-10.99996294,-11.00002073,-10.999987
-10.75,-10.74996374,-10.75002092,-10.749988
-10.5,-10.49996408,-10.50002112,-10.499988
-10.25,-10.24996489,-10.25002096,-10.249988
-10.0,-9.999965974,-10.00002081,-9.999988
-9.75,-9.749966037,-9.750021002,-9.749988
-9.5,-9.499966527,-9.500020722,-9.499988
-9.25,-9.249967842,-9.250020882,-9.249988
-9.0,-8.999968685,-9.000020205,-8.999988
-8.75,-8.749969721,-8.750020409,-8.749988
-8.5,-8.499970638,-8.500020099,-8.499988
-8.25,-8.249971025,-8.250020142,-8.249989
-8.0,-7.999971471,-8.000019788,-7.999988
-7.75,-7.749973979,-7.750021208,-7.74999
-7.5,-7.499974646,-7.500021559,-7.49999
-7.25,-7.24997574,-7.250020868,-7.24999
-7.0,-6.999976422,-7.00002047,-6.99999
-6.75,-6.749977751,-6.750020776,-6.74999
-6.5,-6.499978551,-6.500020423,-6.49999
-6.25,-6.249978776,-6.250020304,-6.24999
-6.0,-5.999980724,-6.000020155,-5.99999
-5.75,-5.749980861,-5.750020198,-5.74999
-5.5,-5.499981557,-5.500020005,-5.49999
-5.25,-5.249982313,-5.250019549,-5.24999
-5.0,-4.999983524,-5.000019548,-4.99999
-4.75,-4.749984412,-4.750018871,-4.749991
-4.5,-4.499985492,-4.500019016,-4.499991
-4.25,-4.249986011,-4.250018883,-4.249991
-4.0,-3.999987179,-4.000019042,-3.999991
-3.75,-3.749988067,-3.750018703,-3.749991
-3.5,-3.499988601,-3.500018306,-3.499991
-3.25,-3.249989769,-3.250017644,-3.249991
-3.0,-2.999990598,-3.00001776,-2.999991
-2.75,-2.749991279,-2.750017553,-2.749991
-2.5,-2.499991961,-2.500017448,-2.499991
-2.25,-2.24999279,-2.25001689,-2.249991
-2.0,-1.999994635,-2.000017841,-1.999993
-1.75,-1.749995612,-1.750017693,-1.749992
-1.5,-1.499996544,-1.500017412,-1.499993
-1.25,-1.249997225,-1.250017293,-1.249993
-1.0,-0.9999980542,-1.000016866,-0.999993
-0.75,-0.7499988536,-0.7500163222,-0.749992
-0.5,-0.4999989313,-0.5000156901,-0.499992
-0.25,-0.2499992447,-0.2500146768,-0.249992
0.0,-2.194797593e-06,-1.634637652e-05,5e-06
0.25,0.2499978306,0.2499840658,0.250006
0.5,0.4999968397,0.499984566,0.500006
0.75,0.7499964674,0.7499853887,0.750007
1.0,0.9999958741,0.9999857716,1.000007
1.25,1.249995472,1.24998633,1.250006
1.5,1.499994467,1.499986875,1.500007
1.75,1.749993873,1.749987257,1.750007
2.0,1.99999331,1.999987582,2.000007
2.25,2.249991022,2.249986469,2.250005
2.5,2.499990282,2.499986999,2.500005
2.75,2.749989365,2.749987235,2.750005
3.0,2.999988889,2.999987735,3.000006
3.25,3.249987736,3.249988265,3.250006
3.5,3.499987231,3.499988061,3.500005
3.75,3.749986137,3.749988473,3.750005
4.0,3.99998578,3.999989106,4.000005
4.25,4.249985039,4.249989518,4.250005
4.5,4.499984608,4.499989739,4.500005
4.75,4.749983425,4.749990503,4.750006
5.0,4.999982862,4.999990021,5.000005
5.25,5.249981679,5.249990111,5.250005
5.5,5.499980821,5.499990509,5.500005
5.75,5.749979874,5.749991522,5.750005
6.0,5.999979192,5.999991568,6.000005
6.25,6.249978702,6.249992039,6.250005
6.5,6.499977976,6.499992715,6.500005
6.75,6.749976853,6.749992643,6.750005
7.0,6.999976348,6.999993304,7.000004
7.25,7.249975799,7.249993262,7.250005
7.5,7.499975323,7.499993293,7.500005
7.75,7.749974671,7.749993749,7.750005
8.0,7.999972178,7.999993106,8.000004
8.25,8.249970863,8.249993005,8.250003
8.5,8.499970594,8.499993183,8.500003
8.75,8.749969058,8.749993991,8.750003
9.0,8.999969201,8.999994213,9.000002
9.25,9.249968063,9.249994126,9.250003
9.5,9.499967396,9.4999947,9.500003
9.75,9.74996667,9.749995009,9.750003
10.0,9.999966327,9.999995422,10.000003
10.25,10.24996581,10.2499957,10.250003
10.5,10.4999646,10.49999695,10.500003
10.75,10.74996309,10.74999607,10.750003
11.0,10.99996356,10.99999626,11.000003
