# INL run# wait_settle = 0.1# samples_per_meter_per_step = 1# NPLC = 10vref,3458A_volt,3458B_volt,W4950_volt
-11.0,-10.99996366,-11.00002208,-10.99998
-10.75,-10.7499639,-10.75002302,-10.74998
-10.5,-10.49996457,-10.50002199,-10.49998
-10.25,-10.24996439,-10.25002136,-10.24998
-10.0,-9.999965355,-10.00002244,-9.99998
-9.75,-9.749967716,-9.750020797,-9.74998
-9.5,-9.499967852,-9.500021924,-9.49998
-9.25,-9.249969491,-9.250022098,-9.24998
-9.0,-8.99996923,-9.000021716,-8.99998
-8.75,-8.749969455,-8.750020732,-8.74998
-8.5,-8.499969563,-8.500020803,-8.49998
-8.25,-8.249971938,-8.250020186,-8.24999
-8.0,-7.999971706,-8.000021533,-7.99998
-7.75,-7.74997392,-7.750020842,-7.74999
-7.5,-7.499975191,-7.500021412,-7.49999
-7.25,-7.249976314,-7.250021161,-7.24999
-7.0,-6.999976466,-7.000020734,-6.99999
-6.75,-6.74997865,-6.750020571,-6.74999
-6.5,-6.499978816,-6.500019954,-6.49999
-6.25,-6.249979866,-6.250020406,-6.24999
-6.0,-5.999979885,-6.000020214,-5.99999
-5.75,-5.749981185,-5.750020887,-5.74999
-5.5,-5.499982014,-5.500020929,-5.49999
-5.25,-5.249984227,-5.250020077,-5.24999
-5.0,-4.999984128,-5.000020105,-4.99999
-4.75,-4.749984073,-4.750019971,-4.74999
-4.5,-4.499985168,-4.500021039,-4.49999
-4.25,-4.249986704,-4.250018384,-4.24999
-4.0,-3.999987753,-4.000019453,-3.99999
-3.75,-3.749987743,-3.750018923,-3.74999
-3.5,-3.499988969,-3.500017177,-3.49999
-3.25,-3.249989298,-3.250017849,-3.24999
-3.0,-2.999990745,-3.000016895,-2.99999
-2.75,-2.749992237,-2.750017377,-2.74999
-2.5,-2.499991784,-2.500017419,-2.49999
-2.25,-2.249991405,-2.250016494,-2.24999
-2.0,-1.99999465,-2.000018295,-1.99999
-1.75,-1.749995626,-1.750018132,-1.74999
-1.5,-1.499996323,-1.500017632,-1.49999
-1.25,-1.249997652,-1.25001766,-1.24999
-1.0,-0.9999978921,-1.000016676,-0.99999
-0.75,-0.7500000026,-0.750016894,-0.74999
-0.5,-0.500000095,-0.5000161153,-0.49999
-0.25,-0.2499978895,-0.250015014,-0.24999
0.0,-1.708701482e-06,-1.678618934e-05,0.0
0.25,0.2499980074,0.2499840219,0.25001
0.5,0.4999971637,0.4999842728,0.50001
0.75,0.7499978225,0.7499841719,0.75001
1.0,0.9999954027,0.9999853611,1.00001
1.25,1.249995104,1.249985817,1.25001
1.5,1.499995188,1.499985716,1.50001
1.75,1.749993977,1.749987624,1.75001
2.0,1.99999272,1.999987098,2.0
2.25,2.249992068,2.249986264,2.25
2.5,2.499990208,2.499986295,2.5
2.75,2.749989659,2.749986634,2.75
3.0,2.999988241,2.999987398,3.0
3.25,3.249988104,3.249987385,3.25
3.5,3.499987629,3.499987959,3.5
3.75,3.749987463,3.749988048,3.75
4.0,3.999986325,3.999988475,4.0
4.25,4.249985039,4.24998965,4.25
4.5,4.499984519,4.499989109,4.5
4.75,4.749983897,4.749989477,4.75
5.0,4.999982346,4.999989933,5.0
5.25,5.249981414,5.249989671,5.25
5.5,5.499980821,5.499989614,5.5
5.75,5.749980154,5.749989469,5.75
6.0,5.999979826,5.999989383,6.0
6.25,6.249979174,6.249991863,6.25
6.5,6.499977755,6.499991014,6.5
6.75,6.749978223,6.749991456,6.75
7.0,6.999976171,6.999990959,7.0
7.25,7.249975372,7.249991254,7.25
7.5,7.499975147,7.499992032,7.5
7.75,7.749974524,7.749992694,7.75
8.0,7.999972517,7.999992007,8.0
8.25,8.249972395,8.249992756,8.25
8.5,8.499970608,8.499992567,8.5
8.75,8.749969426,8.74999295,8.75
9.0,8.999968818,8.999992834,9.0
9.25,9.249968578,9.249993672,9.25
9.5,9.499966556,9.499994216,9.5
9.75,9.74996748,9.749993573,9.75
10.0,9.999966342,9.99999375,10.0
10.25,10.24996587,10.24999465,10.25
10.5,10.49996514,10.49999522,10.5
10.75,10.7499629,10.74999556,10.75
11.0,10.99996289,10.99999609,11.0
