time,W4950_volt
1693564032.2748156,-0.0
1693564050.594994,-0.0
1693564068.915598,0.0
1693564087.2359972,0.0
1693564105.5571244,-0.0
1693564123.8783422,-0.0
1693564142.1986628,-0.0
1693564160.5191963,0.0
1693564178.839225,0.0
1693564197.159499,0.0
1693564215.4799538,0.0
1693564233.8004184,0.0
1693564252.1214023,0.0
1693564270.4417896,0.0
1693564288.7621732,0.0
1693564307.0820951,0.0
1693564325.4028165,0.0
1693564343.7237902,0.0
1693564362.0446815,-0.0
1693564380.365702,-0.0
1693564398.6867552,-0.0
1693564417.007763,0.0
1693564435.3274422,0.0
1693564453.6475856,-0.0
1693564471.967779,-0.0
1693564490.2883596,0.0
1693564508.6091623,0.0
1693564526.9301796,-0.0
1693564545.2509131,0.0
1693564563.5723095,0.0
1693564581.8937306,-0.0
1693564600.2146568,0.0
1693564618.5357509,-0.0
1693564636.8568602,-0.0
1693564655.177736,0.0
1693564673.498646,-0.0
1693564691.825089,0.0
1693564710.1459239,-0.0
1693564728.4664917,-0.0
1693564746.7869217,-0.0
1693564765.1076152,0.0
1693564783.4281933,-0.0
1693564801.7490957,-0.0
1693564820.070164,-0.0
1693564838.3899865,-0.0
1693564856.7098413,-0.0
1693564875.0305092,-0.0
1693564893.3517845,-0.0
1693564911.67241,-0.0
1693564929.9935699,0.0
1693564948.319929,0.0
1693564966.6404827,0.0
1693564984.9605234,0.0
1693565003.2808452,-0.0
1693565021.601758,-0.0
1693565039.9229383,-0.0
1693565058.2440329,-0.0
1693565076.5647628,-0.0
1693565094.8850193,-0.0
1693565113.2062323,-0.0
1693565131.5273104,-0.0
1693565149.8481026,-0.0
1693565168.1696913,0.0
1693565186.490227,0.0
1693565204.8108969,0.0
1693565223.1317883,0.0
1693565241.452418,-0.0
1693565259.7733881,0.0
1693565278.093478,0.0
1693565296.4195838,0.0
1693565314.7405753,0.0
1693565333.0615933,0.0
1693565351.381807,0.0
1693565369.702586,0.0
1693565388.02251,0.0
1693565406.3427544,0.0
1693565424.6640677,0.0
1693565442.984481,0.0
1693565461.304826,0.0
1693565479.6259656,0.0
1693565497.9469483,0.0
1693565516.2679675,0.0
1693565534.5892053,-0.0
1693565552.910081,0.0
1693565571.2302895,0.0
1693565589.551372,0.0
1693565607.8781712,0.0
1693565626.198932,0.0
1693565644.5194163,0.0
1693565662.8455305,0.0
1693565681.166502,0.0
1693565699.4874668,0.0
1693565717.8083549,0.0
1693565736.1286883,0.0
1693565754.4500659,0.0
1693565772.7707303,0.0
1693565791.0916877,0.0
1693565809.4129047,0.0
1693565827.7339084,0.0
1693565846.055048,0.0
1693565864.3758302,0.0
1693565882.6959305,0.0
1693565901.0164719,-0.0
1693565919.336955,-0.0
1693565937.6565127,-0.0
1693565955.976945,-0.0
1693565974.2978122,-0.0
1693565992.617805,0.0
1693566010.9382446,-0.0
1693566029.259742,0.0
1693566047.5803075,-0.0
1693566065.9014108,-0.0
1693566084.2220387,-0.0
1693566102.5425758,0.0
1693566120.8630579,-0.0
1693566139.1888342,0.0
1693566157.5096555,0.0
1693566175.8305285,-0.0
1693566194.1505153,0.0
1693566212.4706447,0.0
1693566230.7906203,0.0
1693566249.1107054,0.0
1693566267.4358962,0.0
1693566285.7569335,0.0
1693566304.0783436,0.0
1693566322.399068,-0.0
1693566340.720185,-0.0
1693566359.0411239,-0.0
1693566377.3620389,0.0
1693566395.6832523,0.0
1693566414.0040011,-0.0
1693566432.324655,0.0
1693566450.6452925,0.0
1693566468.9660518,0.0
1693566487.2861297,0.0
1693566505.607139,1e-06
1693566523.9271836,0.0
1693566542.247253,0.0
1693566560.5679197,0.0
1693566578.8887076,0.0
1693566597.2095656,0.0
1693566615.5307639,-0.0
1693566633.8516672,-0.0
1693566652.172422,-0.0
1693566670.4939847,-0.0
1693566688.815086,-0.0
1693566707.1357467,0.0
1693566725.4572234,-0.0
1693566743.7780523,0.0
1693566762.098442,-0.0
1693566780.4184647,-0.0
1693566798.7393432,0.0
1693566817.0600228,0.0
1693566835.379933,0.0
1693566853.6997378,0.0
1693566872.0200696,-0.0
1693566890.3401406,0.0
1693566908.660274,-0.0
1693566926.981305,0.0
1693566945.301332,0.0
1693566963.6209476,0.0
1693566981.9414067,0.0
1693567000.2622924,0.0
1693567018.5826483,0.0
1693567036.9039588,0.0
1693567055.224458,0.0
1693567073.5497406,0.0
1693567091.870312,0.0
1693567110.1907315,-0.0
1693567128.5117154,0.0
1693567146.831775,0.0
1693567165.1515274,0.0
1693567183.4719315,-0.0
1693567201.7919035,-0.0
1693567220.1116688,0.0
1693567238.4320054,-0.0
1693567256.7530081,0.0
1693567275.0741317,0.0
1693567293.3940465,0.0
1693567311.7143683,0.0
1693567330.0402784,0.0
1693567348.3662984,0.0
1693567366.6861959,0.0
1693567385.0061374,0.0
1693567403.3264205,0.0
1693567421.6476705,0.0
1693567439.9684114,0.0
1693567458.2888224,0.0
1693567476.6094987,0.0
1693567494.9298024,-0.0
1693567513.2506413,0.0
1693567531.5712004,0.0
1693567549.891633,0.0
1693567568.2116604,0.0
1693567586.531351,0.0
1693567604.8518202,-0.0
1693567623.1721592,0.0
1693567641.498138,0.0
1693567659.8187587,1e-06
1693567678.1385946,0.0
1693567696.4590566,0.0
1693567714.7793777,0.0
1693567733.100102,-0.0
1693567751.4212356,0.0
1693567769.7422745,0.0
1693567788.0637128,0.0
1693567806.3846292,0.0
1693567824.7049725,0.0
1693567843.0255349,0.0
1693567861.3463984,-0.0
1693567879.6674516,-0.0
1693567897.9886436,0.0
1693567916.3093953,0.0
1693567934.6348915,0.0
1693567952.955055,0.0
1693567971.2752583,0.0
1693567989.5954936,0.0
1693568007.9211595,0.0
1693568026.241156,0.0
1693568044.5620594,0.0
1693568062.8825512,1e-06
1693568081.203905,0.0
1693568099.5249286,0.0
1693568117.8461258,0.0
1693568136.1667178,-0.0
1693568154.487256,0.0
1693568172.8080344,0.0
1693568191.1290934,0.0
1693568209.4500434,0.0
1693568227.7704055,0.0
1693568246.0915618,0.0
1693568264.412501,0.0
1693568282.7332761,0.0
1693568301.0531251,0.0
1693568319.373839,1e-06
1693568337.694324,0.0
1693568356.014519,0.0
1693568374.3345866,0.0
1693568392.6554713,0.0
1693568410.9756343,-0.0
1693568429.2965875,0.0
1693568447.6168308,0.0
1693568465.9375017,-0.0
1693568484.257894,-0.0
1693568502.578784,-0.0
1693568520.8989956,0.0
1693568539.2201555,0.0
1693568557.5411172,0.0
1693568575.8618944,0.0
1693568594.181523,0.0
1693568612.5016105,0.0
1693568630.8221881,0.0
1693568649.1429892,0.0
1693568667.4637644,-0.0
1693568685.7847068,-0.0
1693568704.106015,0.0
1693568722.4271357,-0.0
1693568740.747635,0.0
