# INL run
# wait_settle = 5
# samples_per_meter_per_step = 1
# NPLC = 50
NNNI Volt,3458A_volt
0,-10.62783981
16383,-10.28911015
32766,-9.951084168
49149,-9.619345079
65532,-9.287689584
81915,-8.95617715
98298,-8.624615473
114681,-8.293115883
131064,-7.961528089
147447,-7.629980758
163830,-7.298457881
180213,-6.966892506
196596,-6.635318455
212979,-6.303808318
229362,-5.972244991
245745,-5.640680853
262128,-5.309151568
278511,-4.977588638
294894,-4.646040218
311277,-4.31446465
327660,-3.982914064
344043,-3.651324487
360426,-3.319764356
376809,-2.988199305
393192,-2.656609405
409575,-2.325028401
425958,-1.993448355
442341,-1.661889977
458724,-1.330307574
475107,-0.9987296631
491490,-0.667149499
507873,-0.3355619698
524256,-0.003947822886
540639,0.3276324591
557022,0.6592337022
573405,0.9908349748
589788,1.322397978
606171,1.653960319
622554,1.985547008
638937,2.317107831
655320,2.648709384
671703,2.980304764
688086,3.31188456
704469,3.643471117
720852,3.975027772
737235,4.30660879
753618,4.638166078
770001,4.969739805
786384,5.301272685
802767,5.632850389
819150,5.964413334
835533,6.295981949
851916,6.627533861
868299,6.959090353
884682,7.290639996
901065,7.62219833
917448,7.953747752
933831,8.285288881
950214,8.616829126
966597,8.948390803
982980,9.279902295
999363,9.611439314
1015746,9.943049763
1032129,10.27753884
1048512,10.61631446
