time,34420a_volt
1710610110.1724281,0.0
1710610115.4476764,-3.8e-10
1710610120.7225897,1.99e-09
1710610125.9975722,3.42e-09
1710610131.2726336,3.01e-09
1710610136.5474162,2.88e-09
1710610141.8227305,3.85e-09
1710610147.0978568,2.22e-09
1710610152.3729162,2.46e-09
1710610157.6479967,5.28e-09
1710610162.922733,2.34e-09
1710610168.197906,2.77e-09
1710610173.472925,6.3e-10
1710610178.7477758,2.41e-09
1710610184.0228417,1.37e-09
1710610189.297603,1.6e-09
1710610194.5728488,1.41e-09
1710610199.8481338,2.69e-09
1710610205.1232386,6.1e-10
1710610210.398234,2.04e-09
1710610215.6731472,3.5e-10
1710610220.947743,3.15e-09
1710610226.2227948,3.7e-10
1710610231.4979208,4e-10
1710610236.7729142,2.5e-10
1710610242.0479488,2.18e-09
1710610247.322853,9.5e-10
1710610252.5976415,3.09e-09
1710610257.8724184,3.4e-10
1710610263.1471536,-2.08e-09
1710610268.4218085,-3.2e-10
1710610273.696814,1.36e-09
1710610278.9715462,8.2e-10
1710610284.2466512,2.05e-09
1710610289.5216641,-6.4e-10
1710610294.796695,-1.45e-09
1710610300.071793,-6.6e-10
1710610305.3471289,-1.42e-09
1710610310.622165,4.9e-10
1710610315.8971105,-1.37e-09
1710610321.1721256,1.6e-10
1710610326.4472518,2.6e-10
1710610331.7224345,2.95e-09
1710610336.9973814,-2.01e-09
1710610342.2725668,-4.24e-09
1710610347.5476716,-4.34e-09
1710610352.822871,-3.84e-09
1710610358.0978024,-2.84e-09
1710610363.3729427,-3.3e-10
1710610368.6479917,-5.64e-09
1710610373.9231334,-3.16e-09
1710610379.198346,-7.28e-09
1710610384.4736314,-1.37e-09
1710610389.7486231,-6.51e-09
1710610395.0236785,-3.86e-09
1710610400.2987416,-6.63e-09
1710610405.573945,2.03e-09
1710610410.8490946,1.4e-10
1710610416.124135,-2.5e-09
1710610421.399481,5.6e-10
1710610426.675049,3.18e-09
1710610431.9505348,-2.6e-10
1710610437.2258062,-2.6e-10
1710610442.5010068,2.18e-09
1710610447.7761884,-1.03e-09
1710610453.0513318,6e-11
1710610458.3264382,2.6e-10
1710610463.6014786,2.15e-09
1710610468.876409,6.9e-10
1710610474.1515334,-3.5e-10
1710610479.426596,2.32e-09
1710610484.70167,1.13e-09
1710610489.9766855,1.19e-09
1710610495.251692,2.3e-09
1710610500.526814,-8.9e-10
1710610505.8019142,2e-10
1710610511.077049,8.3e-10
1710610516.352419,-1.06e-09
1710610521.6276717,1.74e-09
1710610526.9029927,3.92e-09
1710610532.1784308,2.66e-09
1710610537.4534185,9.3e-10
1710610542.7284145,3.56e-09
1710610548.003723,1.8e-10
1710610553.2790847,3.89e-09
1710610558.5543108,7.4e-10
1710610563.8291934,1.79e-09
1710610569.1040347,5.5e-09
1710610574.3787093,7.7e-10
1710610579.6534803,3.66e-09
1710610584.9284606,2.84e-09
1710610590.2032173,5.5e-10
1710610595.4784827,4.27e-09
1710610600.7539065,3.47e-09
1710610606.0293376,4.4e-10
1710610611.304254,2.5e-09
1710610616.5791383,3.18e-09
1710610621.8541746,6e-11
1710610627.1290004,1.33e-09
1710610632.4038715,3.59e-09
1710610637.6786768,3.3e-10
1710610642.9534292,7.8e-10
1710610648.228548,-1.7e-10
1710610653.5040433,1.32e-09
1710610658.7792046,3.83e-09
1710610664.054365,1.97e-09
1710610669.3293657,2.61e-09
1710610674.6044264,2.46e-09
1710610679.879872,2.04e-09
1710610685.155281,1.21e-09
1710610690.430514,1.02e-09
1710610695.7057388,2.6e-09
1710610700.9807165,2e-09
1710610706.2558713,1.59e-09
1710610711.5312362,-1.42e-09
1710610716.8061807,-5.6e-10
1710610722.081121,6e-11
1710610727.356129,2.17e-09
1710610732.6313422,3.09e-09
1710610737.9064653,1.49e-09
1710610743.1814284,3.02e-09
1710610748.4566712,2.62e-09
1710610753.7316985,-2.6e-10
1710610759.006649,2.35e-09
1710610764.2812514,2.32e-09
1710610769.5561824,3.31e-09
1710610774.8311076,4.37e-09
1710610780.106192,1.81e-09
1710610785.3813035,1.04e-09
1710610790.6561158,-2.2e-10
1710610795.9309163,1.06e-09
1710610801.2058594,3.34e-09
1710610806.480469,1.75e-09
1710610811.7549791,3.12e-09
1710610817.02968,1.21e-09
1710610822.3044975,3.02e-09
1710610827.579052,1.87e-09
1710610832.8537025,2.02e-09
1710610838.1282272,4.7e-10
1710610843.4032617,-1.24e-09
1710610848.6780984,6.4e-10
1710610853.952999,1.3e-10
1710610859.227865,2.1e-09
1710610864.5032482,1.43e-09
1710610869.7784777,2.96e-09
1710610875.0535722,2.38e-09
1710610880.328455,2.39e-09
1710610885.6035316,2.93e-09
1710610890.8786385,-1.4e-10
1710610896.153529,-1.45e-09
1710610901.4287758,5.7e-10
1710610906.7037282,1.71e-09
1710610911.978933,9.5e-10
1710610917.2539341,2.8e-10
1710610922.5289137,4.5e-10
1710610927.804175,3.81e-09
1710610933.0790987,1.97e-09
1710610938.3540523,2.15e-09
1710610943.6289353,2.79e-09
1710610948.9040568,1.34e-09
1710610954.1790013,2.45e-09
1710610959.4538157,3.05e-09
1710610964.72883,3.03e-09
1710610970.0040188,3.23e-09
1710610975.2791116,2.45e-09
1710610980.5541039,-1.07e-09
1710610985.8290074,-8.6e-10
1710610991.1039498,-1.28e-09
1710610996.3785338,2.8e-10
1710611001.652892,-7.3e-10
1710611006.9274611,-2.1e-10
1710611012.2026956,1.95e-09
1710611017.4776783,1.5e-09
1710611022.7527914,-4e-10
1710611028.0277784,4e-10
1710611033.3028567,-1.93e-09
1710611038.5777974,4.4e-10
1710611043.852947,1.25e-09
1710611049.1280966,2.73e-09
1710611054.4032657,2.96e-09
1710611059.6782794,-7.5e-10
1710611064.9533987,7.2e-10
1710611070.2285578,3.62e-09
1710611075.5036168,2.79e-09
1710611080.7789304,1.46e-09
1710611086.0542586,-1.93e-09
1710611091.3295412,3.1e-09
1710611096.6048372,2.29e-09
1710611101.88022,-3.8e-10
1710611107.1555533,2.98e-09
1710611112.4305444,2.52e-09
1710611117.7061586,1.7e-09
1710611122.981435,9.7e-10
1710611128.2567956,1.32e-09
1710611133.5319035,2.92e-09
1710611138.8069623,4.33e-09
1710611144.0822082,7.8e-10
1710611149.3574214,2.45e-09
1710611154.6326356,2.21e-09
1710611159.9080348,4.22e-09
1710611165.1832793,2.69e-09
1710611170.4585087,8.7e-10
1710611175.733621,3.84e-09
1710611181.0087488,1.38e-09
1710611186.283699,4e-10
1710611191.5589156,1e-11
1710611196.8340137,1.78e-09
1710611202.1093838,2.53e-09
1710611207.3846893,-2.17e-09
1710611212.6599557,4.17e-09
1710611217.9351964,-4.6e-10
1710611223.2103872,3.57e-09
1710611228.485594,3e-11
1710611233.7609835,-1.43e-09
1710611239.0362625,1.2e-10
1710611244.3114276,2.9e-10
1710611249.5866985,3.1e-10
1710611254.8619382,3.02e-09
1710611260.1373603,1.27e-09
1710611265.4125645,2.2e-10
1710611270.6876419,3.8e-10
1710611275.9628527,3.72e-09
1710611281.238078,6.5e-10
1710611286.5132647,1.88e-09
1710611291.7884285,-2e-10
1710611297.0635414,3.84e-09
1710611302.3386948,3.19e-09
1710611307.6136467,9.9e-10
1710611312.8886075,5.5e-10
1710611318.1637254,-8.4e-10
1710611323.438963,2.51e-09
1710611328.7141652,1.34e-09
1710611333.9891317,0.0
1710611339.2642672,2.14e-09
1710611344.5393121,1.78e-09
1710611349.8142872,5.5e-10
1710611355.089258,7.3e-10
1710611360.3644602,3e-09
1710611365.6396475,2.67e-09
1710611370.9147162,1.6e-10
1710611376.1898763,-1.5e-10
1710611381.4651444,2.2e-09
1710611386.7404284,7.7e-10
1710611392.0154521,1.76e-09
1710611397.2904747,2.33e-09
1710611402.5656903,1.02e-09
1710611407.840846,5.72e-09
1710611413.116116,3.59e-09
1710611418.3912883,1.96e-09
1710611423.6664267,1.97e-09
1710611428.9414742,2.31e-09
1710611434.216822,2.69e-09
1710611439.4913726,1.26e-09
1710611444.766278,1.53e-09
1710611450.0408976,9.6e-10
1710611455.3155932,1.73e-09
1710611460.5903828,-6.9e-10
1710611465.865139,1.42e-09
1710611471.1398096,1.06e-09
1710611476.4147139,-1.45e-09
1710611481.6895611,3.92e-09
1710611486.9644349,2.28e-09
1710611492.2392058,2.27e-09
1710611497.514029,2.59e-09
1710611502.789027,1.44e-09
1710611508.0641198,1.99e-09
1710611513.3388574,1.32e-09
1710611518.6135728,3.12e-09
1710611523.8883593,3.29e-09
1710611529.1629996,3.58e-09
1710611534.437853,3.64e-09
1710611539.7127001,2.26e-09
1710611544.9874156,9.7e-10
1710611550.2623293,3.62e-09
1710611555.537241,-1.5e-10
1710611560.8122475,2.88e-09
1710611566.0873015,-6.9e-10
1710611571.3622682,2.09e-09
1710611576.6371818,6.6e-10
1710611581.9121726,2.43e-09
1710611587.18685,6.2e-10
1710611592.4616032,8.9e-10
1710611597.736364,-2.6e-10
1710611603.01108,2.5e-10
