time,34420a_volt
1710769457.840169,0.0
1710769461.812715,8e-09
1710769465.7851148,0.0
1710769469.7577248,-3e-09
1710769473.7304137,2e-09
1710769477.7029002,2.4e-08
1710769481.6753635,1.1e-08
1710769485.647897,1.8e-08
1710769489.6204846,-2.1e-08
1710769493.593103,0.0
1710769497.5655773,0.0
1710769501.5380785,-5e-09
1710769505.5105846,6e-09
1710769509.4829829,2.8e-08
1710769513.455364,-2.2e-08
1710769517.4279416,-1.5e-08
1710769521.400325,-3e-09
1710769525.372632,-1.5e-08
1710769529.3450572,-6e-09
1710769533.3175588,1.6e-08
1710769537.2901092,2e-09
1710769541.262743,-2e-08
1710769545.2352767,-8e-09
1710769549.2078755,-3.2e-08
1710769553.18028,5e-09
1710769557.1529338,-6e-09
1710769561.1255548,-3.1e-08
1710769565.098162,8e-09
1710769569.0706854,1.1e-08
1710769573.043146,-6e-09
1710769577.015908,1.2e-08
1710769580.988265,-3e-09
1710769584.96073,1.5e-08
1710769588.9332545,-5e-09
1710769592.9057899,2.2e-08
1710769596.878329,0.0
1710769600.8509314,6e-09
1710769604.8235524,-5e-09
1710769608.7960427,0.0
1710769612.7684958,2.7e-08
1710769616.7409987,-8e-09
1710769620.7135978,2e-09
1710769624.686146,5e-09
1710769628.6584535,-1.2e-08
1710769632.630852,-1.5e-08
1710769636.6034062,-6e-09
1710769640.5759566,4e-08
1710769644.5483875,2.1e-08
1710769648.520762,-1.2e-08
1710769652.493286,1.2e-08
1710769656.4657354,0.0
1710769660.4383574,-3e-08
1710769664.4109497,1.8e-08
1710769668.383457,3.1e-08
1710769672.3559494,-6e-09
1710769676.3284676,8e-09
1710769680.3009937,9e-09
1710769684.27358,-3.5e-08
1710769688.246035,-6e-09
1710769692.2184443,-3e-09
1710769696.1908917,-4.1e-08
1710769700.1632962,9e-09
1710769704.135684,2.1e-08
1710769708.1082714,2e-09
1710769712.0807166,-3.5e-08
1710769716.0531259,-1.4e-08
1710769720.0257692,-2.5e-08
1710769723.9983842,0.0
1710769727.9709394,2e-09
1710769731.9434016,0.0
1710769735.9159684,1.1e-08
1710769739.8885148,8e-09
1710769743.860923,-6e-09
1710769747.833486,2e-09
1710769751.80603,-1.2e-08
1710769755.7784758,-9e-09
1710769759.7508717,-1.5e-08
1710769763.7233288,3.1e-08
1710769767.695907,1.2e-08
1710769771.668272,1.6e-08
1710769775.6406631,-8e-09
1710769779.6131074,-5e-09
1710769783.5856943,2.4e-08
1710769787.5581806,-2e-08
1710769791.530637,-9e-09
1710769795.5031564,-1.8e-08
1710769799.4756117,9e-09
1710769803.4481483,-1.2e-08
1710769807.4206424,-3e-09
1710769811.393031,1.2e-08
1710769815.365494,-2e-08
1710769819.3380547,9e-09
1710769823.3104968,1.6e-08
1710769827.2834506,1.1e-08
1710769831.2561188,-2.5e-08
1710769835.2286017,1.2e-08
1710769839.2009943,2.5e-08
1710769843.1736143,8e-09
1710769847.1462219,-6e-09
1710769851.1186914,1.2e-08
1710769855.0912101,-3e-09
1710769859.0637019,1.2e-08
1710769863.0362952,9e-09
1710769867.0088,9e-09
1710769870.9812272,2.5e-08
1710769874.9536512,1.1e-08
1710769878.9262104,2.5e-08
1710769882.8987398,2.2e-08
1710769886.8712356,-2.1e-08
1710769890.8438706,-3e-09
1710769894.8163586,2.4e-08
1710769898.7887917,0.0
1710769902.7613807,-8e-09
1710769906.7340002,-3e-09
1710769910.7063885,-5e-09
1710769914.6789114,1.5e-08
1710769918.6514397,-1.4e-08
1710769922.623945,8e-09
1710769926.5963507,0.0
1710769930.568687,-5e-08
1710769934.541021,1.5e-08
1710769938.513411,-2.1e-08
1710769942.4859233,-8e-09
1710769946.458523,9e-09
1710769950.431138,1.9e-08
1710769954.403636,-1.5e-08
1710769958.3761127,1.8e-08
1710769962.3486912,1.5e-08
1710769966.321304,1.5e-08
1710769970.29379,1.1e-08
1710769974.266204,-1.5e-08
1710769978.2386086,-6e-09
1710769982.2111614,-3e-09
1710769986.183559,3e-09
1710769990.1559281,-2.4e-08
1710769994.1283233,1.1e-08
1710769998.1007757,-1.2e-08
1710770002.0731423,3.1e-08
1710770006.0456135,-3.5e-08
1710770010.0181627,-1.1e-08
1710770013.9907293,1.6e-08
1710770017.963174,-8e-09
1710770021.935621,0.0
1710770025.908122,-1.5e-08
1710770029.8806682,3e-09
1710770033.8529835,2e-09
1710770037.8253932,3.7e-08
1710770041.7978172,-6e-09
1710770045.7702713,3.7e-08
1710770049.7426798,-6e-09
1710770053.7150836,-2.1e-08
1710770057.687448,-1.2e-08
1710770061.6599524,4.1e-08
1710770065.6323423,-6e-09
1710770069.6047087,3e-09
1710770073.5770447,6e-09
1710770077.5493784,-1.7e-08
1710770081.5219946,1.5e-08
1710770085.494497,-1.5e-08
1710770089.4669495,-1.5e-08
1710770093.439374,-2e-08
1710770097.4118078,-6e-09
1710770101.3842776,1.2e-08
1710770105.3565493,0.0
1710770109.3289912,-1.5e-08
1710770113.301299,2.4e-08
1710770117.2737498,-5e-09
1710770121.246056,1.6e-08
1710770125.2185285,2.1e-08
1710770129.190947,-4.8e-08
1710770133.1632552,3.3e-08
1710770137.1355813,-3e-09
1710770141.1082199,1.8e-08
1710770145.0807583,3.1e-08
1710770149.053189,-1.2e-08
1710770153.025551,3e-09
1710770156.997944,0.0
1710770160.9703698,9e-09
1710770164.9427884,9e-09
1710770168.9152758,-3.3e-08
1710770172.8875942,-1.7e-08
1710770176.8600645,3e-09
1710770180.8325102,-5e-09
1710770184.8048005,-2.2e-08
1710770188.7771306,2e-09
1710770192.7495553,-1.2e-08
1710770196.7220721,4.3e-08
1710770200.6945648,-1.8e-08
1710770204.6670487,4.1e-08
1710770208.6394558,9e-09
1710770212.6118958,-6e-09
1710770216.5843484,-6e-09
1710770220.5567436,9e-09
1710770224.529179,3.3e-08
1710770228.501654,9e-09
1710770232.4740572,1.5e-08
1710770236.446394,9e-09
1710770240.4187498,-2.8e-08
1710770244.3911881,0.0
1710770248.3635375,-2.4e-08
1710770252.335964,-1.1e-08
1710770256.3084767,-6e-09
1710770260.2811403,1.5e-08
1710770264.2536488,1.5e-08
1710770268.2261593,2e-09
1710770272.1986117,1.5e-08
1710770276.1710954,1.5e-08
1710770280.143524,0.0
1710770284.116027,3e-09
1710770288.088446,-1.7e-08
1710770292.0608685,9e-09
1710770296.0332758,9e-09
1710770300.0056388,-9e-09
