# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
0,-10.40393291
0,-10.40393325
0,-10.40393359
0,-10.40393335
0,-10.40393379
1024,-10.38361312
1024,-10.38361321
1024,-10.38361304
1024,-10.38361291
1024,-10.38361272
2048,-10.36329301
2048,-10.36329283
2048,-10.36329321
2048,-10.36329302
2048,-10.36329296
3072,-10.34297379
3072,-10.34297385
3072,-10.3429736
3072,-10.34297344
3072,-10.34297323
4096,-10.32265452
4096,-10.32265452
4096,-10.32265447
4096,-10.32265418
4096,-10.32265419
5120,-10.30233426
5120,-10.30233408
5120,-10.30233384
5120,-10.30233381
5120,-10.30233371
6144,-10.28201436
6144,-10.28201403
6144,-10.28201401
6144,-10.28201373
6144,-10.28201423
7168,-10.26169534
7168,-10.26169537
7168,-10.26169505
7168,-10.2616954
7168,-10.26169556
8192,-10.24137591
8192,-10.24137579
8192,-10.24137617
8192,-10.24137614
8192,-10.24137588
9216,-10.22105646
9216,-10.22105699
9216,-10.22105684
9216,-10.22105706
9216,-10.22105704
10240,-10.20073699
10240,-10.2007363
10240,-10.20073656
10240,-10.20073653
10240,-10.20073639
11264,-10.18041713
11264,-10.18041804
11264,-10.18041862
11264,-10.18041829
11264,-10.18041847
12288,-10.16009911
12288,-10.1600989
12288,-10.16009862
12288,-10.16009862
12288,-10.1600988
13312,-10.13977883
13312,-10.13977861
13312,-10.13977867
13312,-10.13977863
13312,-10.13977871
14336,-10.11945925
14336,-10.11945909
14336,-10.11945947
14336,-10.11945969
14336,-10.11945968
15360,-10.09914049
15360,-10.09914025
15360,-10.09914024
15360,-10.09914049
15360,-10.09914049
16384,-10.0788239
16384,-10.07882375
16384,-10.07882419
16384,-10.07882353
16384,-10.0788235
17408,-10.05850471
17408,-10.05850436
17408,-10.05850393
17408,-10.05850353
17408,-10.05850374
18432,-10.03818254
18432,-10.03818215
18432,-10.03818263
18432,-10.03818264
18432,-10.03818258
19456,-10.01786393
19456,-10.01786375
19456,-10.01786376
19456,-10.01786375
19456,-10.01786419
20480,-9.997545802
20480,-9.997545832
20480,-9.997546215
20480,-9.997545699
20480,-9.997546259
21504,-9.977225557
21504,-9.977226308
21504,-9.977226146
21504,-9.977226249
21504,-9.977226264
22528,-9.956907035
22528,-9.95690671
22528,-9.956906578
22528,-9.956906563
22528,-9.956906327
23552,-9.936586921
23552,-9.936586892
23552,-9.936586303
23552,-9.93658645
23552,-9.936586524
24576,-9.916269533
24576,-9.91626943
24576,-9.916269401
24576,-9.916269386
24576,-9.916269047
25600,-9.895950068
25600,-9.895949479
25600,-9.89594998
25600,-9.895950068
25600,-9.895949464
26624,-9.875630132
26624,-9.875630456
26624,-9.875630235
26624,-9.875630382
26624,-9.875630338
27648,-9.855311079
27648,-9.855311624
27648,-9.855311639
27648,-9.855311595
27648,-9.855312022
28672,-9.834992955
28672,-9.834992896
28672,-9.834992601
28672,-9.834992557
28672,-9.834992542
29696,-9.81467268
29696,-9.814672798
29696,-9.81467265
29696,-9.814672606
29696,-9.814672901
30720,-9.794353716
30720,-9.794353362
30720,-9.794353288
30720,-9.794353377
30720,-9.794353215
31744,-9.774033514
31744,-9.774033632
31744,-9.774033853
31744,-9.774033735
31744,-9.774034059
32768,-9.753715434
32768,-9.753715478
32768,-9.753715316
32768,-9.753715213
32768,-9.753715183
33792,-9.733395512
33792,-9.733395438
33792,-9.733395674
33792,-9.733395895
33792,-9.733395939
34816,-9.713076209
34816,-9.713076415
34816,-9.713075959
34816,-9.713075576
34816,-9.713076298
35840,-9.692756405
35840,-9.692756125
35840,-9.69275645
35840,-9.692756479
35840,-9.692756288
36864,-9.67243887
36864,-9.672438664
36864,-9.672438767
36864,-9.67243912
36864,-9.672439341
37888,-9.652118963
37888,-9.652119214
37888,-9.652119376
37888,-9.65211889
37888,-9.652118934
38912,-9.631799321
38912,-9.631799115
38912,-9.631799307
38912,-9.631799572
38912,-9.631799572
39936,-9.61148018
39936,-9.611479577
39936,-9.611479414
39936,-9.611479223
39936,-9.611479606
40960,-9.591159655
40960,-9.591159522
40960,-9.591159449
40960,-9.591159567
40960,-9.591160067
41984,-9.570840381
41984,-9.570840573
41984,-9.570840529
41984,-9.570840647
41984,-9.57084075
43008,-9.550520563
43008,-9.550520946
43008,-9.55052127
43008,-9.55052102
43008,-9.550521093
44032,-9.530201555
44032,-9.530201481
44032,-9.530201525
44032,-9.530201451
44032,-9.530201628
45056,-9.50988396
45056,-9.509883916
45056,-9.509883769
45056,-9.509883459
45056,-9.509883739
46080,-9.489563832
46080,-9.489563081
46080,-9.489563155
46080,-9.489563361
46080,-9.48956317
47104,-9.469244441
47104,-9.469244367
47104,-9.469244456
47104,-9.469244603
47104,-9.469245001
48128,-9.448925772
48128,-9.448926213
48128,-9.448926317
48128,-9.44892614
48128,-9.448925948
49152,-9.428607838
49152,-9.428608089
49152,-9.428608104
49152,-9.428608325
49152,-9.428608339
50176,-9.408288536
50176,-9.408288609
50176,-9.408288698
50176,-9.408288536
50176,-9.408288653
51200,-9.387966286
51200,-9.387966596
51200,-9.387966066
51200,-9.387966124
51200,-9.387966183
52224,-9.367647484
52224,-9.367647204
52224,-9.367647146
52224,-9.367647602
52224,-9.367647912
53248,-9.347330008
53248,-9.347330199
53248,-9.347330568
53248,-9.347330715
53248,-9.347330612
54272,-9.327010602
54272,-9.327010749
54272,-9.327010558
54272,-9.327010381
54272,-9.327009969
55296,-9.306690017
55296,-9.306689914
55296,-9.306689944
55296,-9.30669015
