# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394549,20.001
16384,-10.07883581,20.0
32768,-9.753729963,20.0
49152,-9.428618957,20.0
65536,-9.103510897,20.0
81920,-8.778400333,20.001
98304,-8.45329301,20.001
114688,-8.128184508,20.001
131072,-7.803076742,20.001
147456,-7.477967946,20.001
163840,-7.152858708,20.001
180224,-6.82774888,20.001
196608,-6.502640968,20.002
212992,-6.177531582,20.002
229376,-5.852422638,20.002
245760,-5.527314726,20.002
262144,-5.202206224,20.002
278528,-4.877096985,20.002
294912,-4.551987158,20.002
311296,-4.226877919,20.002
327680,-3.901766914,20.002
344064,-3.576660769,20.002
360448,-3.251551383,20.001
376832,-2.92644023,20.001
393216,-2.601333348,20.001
409600,-2.276225141,20.001
425984,-1.951115019,20.001
442368,-1.62600799,20.001
458752,-1.300897279,20.001
475136,-0.9757883349,20.001
491520,-0.6506777708,20.001
507904,-0.3255697109,20.001
524288,-0.0004612090758,20.001
540672,0.3246472927,20.001
557056,0.6497522593,20.001
573440,0.9748635599,20.001
589824,1.299972798,20.001
606208,1.625081447,20.001
622592,1.950189655,20.001
638976,2.275298746,20.001
655360,2.600407247,20.001
671744,2.925517664,20.001
688128,3.250623956,20.001
704512,3.575733637,20.001
720896,3.900843022,20.001
737280,4.225953144,20.001
753664,4.551059142,20.001
770048,4.876171916,20.001
786432,5.201280123,20.001
802816,5.526389803,20.001
819200,5.851497863,20.001
835584,6.176609016,20.001
851968,6.501717371,20.001
868352,6.82682602,20.001
884736,7.151932607,20.001
901120,7.477044497,20.001
917504,7.802155061,20.001
933888,8.127265625,20.001
950272,8.452371623,20.001
966656,8.777482776,20.001
983040,9.102594076,20.001
999424,9.427701989,20.001
1015808,9.752809018,20.001
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 25dac_counts,3458A_volt,arroyo_temperature
0,-10.40394594,20.181
16384,-10.07883788,20.271
32768,-9.753730847,20.379
49152,-9.428618957,20.501
65536,-9.103510161,20.638
81920,-8.77840269,20.785
98304,-8.453293746,20.94
114688,-8.128186275,21.104
131072,-7.803076153,21.276
147456,-7.477967799,21.451
163840,-7.152858855,21.629
180224,-6.827750206,21.809
196608,-6.502640378,21.991
212992,-6.177533055,22.176
229376,-5.852422638,22.357
245760,-5.527315757,22.538
262144,-5.202205193,22.719
278528,-4.877096396,22.894
294912,-4.551987894,23.067
311296,-4.226878803,23.235
327680,-3.901769565,23.399
344064,-3.576661652,23.561
360448,-3.251552709,23.716
376832,-2.926441703,23.865
393216,-2.601334085,24.011
409600,-2.27622411,24.149
425984,-1.951116197,24.281
442368,-1.626007695,24.408
458752,-1.300898604,24.528
475136,-0.9757896606,24.642
491520,-0.6506796858,24.753
507904,-0.3255703001,24.855
524288,-0.000461503684,24.952
540672,0.3246467035,25.043
557056,0.6497529958,25.129
573440,0.9748648856,25.209
589824,1.299972504,25.284
606208,1.625082478,25.353
622592,1.950191275,25.418
638976,2.275299482,25.477
655360,2.600407837,25.532
671744,2.925518843,25.581
688128,3.250625135,25.626
704512,3.575736141,25.668
720896,3.900844495,25.705
737280,4.225953144,25.738
753664,4.551061941,25.768
770048,4.876174567,25.793
786432,5.20128248,25.816
802816,5.526392455,25.835
819200,5.851499042,25.851
835584,6.176610195,25.865
851968,6.501717813,25.875
868352,6.826830586,25.883
884736,7.151937763,25.889
901120,7.477047885,25.893
917504,7.802156828,25.894
933888,8.127267098,25.893
950272,8.452374863,25.89
966656,8.7774869,25.886
983040,9.102595549,25.879
999424,9.427705966,25.872
1015808,9.75281491,25.863
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 30dac_counts,3458A_volt,arroyo_temperature
0,-10.403948,25.972
16384,-10.07883891,26.054
32768,-9.753732614,26.152
49152,-9.428621756,26.265
65536,-9.103512223,26.39
81920,-8.778404457,26.527
98304,-8.453294777,26.675
114688,-8.128186423,26.829
131072,-7.803077774,26.989
147456,-7.477969419,27.156
163840,-7.152862096,27.326
180224,-6.827751532,27.497
196608,-6.502642146,27.67
212992,-6.177534381,27.844
229376,-5.852424553,28.016
245760,-5.527316051,28.19
262144,-5.202206666,28.359
278528,-4.877098458,28.525
294912,-4.551988631,28.688
311296,-4.226878951,28.85
327680,-3.901769123,29.004
344064,-3.5766618,29.154
360448,-3.251551825,29.299
376832,-2.926442439,29.441
393216,-2.601334085,29.575
409600,-2.276224846,29.703
425984,-1.951114724,29.825
442368,-1.626007843,29.943
458752,-1.300895953,30.053
475136,-0.9757883349,30.157
491520,-0.6506782127,30.255
507904,-0.3255686798,30.348
524288,-0.0004607671636,30.434
540672,0.3246477347,30.514
557056,0.6497541742,30.588
573440,0.9748653275,30.657
589824,1.29997324,30.721
606208,1.625082626,30.778
622592,1.950190391,30.831
638976,2.275300513,30.878
655360,2.600408868,30.921
671744,2.925520758,30.959
688128,3.250626166,30.992
704512,3.57573835,31.021
720896,3.900847294,31.046
737280,4.225954765,31.068
753664,4.551063119,31.085
770048,4.876176188,31.1
786432,5.201283806,31.111
802816,5.526394517,31.119
819200,5.851500367,31.125
835584,6.176612257,31.128
851968,6.501721054,31.128
868352,6.826831176,31.126
884736,7.15193953,31.123
901120,7.477049947,31.117
917504,7.802158007,31.109
933888,8.127270191,31.1
950272,8.452375305,31.089
966656,8.777488815,31.077
983040,9.102598201,31.063
999424,9.427706261,31.048
