# INL run# soak = 5# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt,3458B_volt,ambient_temp
0,-10.4039491,-10.40400418,21.385815123195062
0,-10.40394931,-10.40400392,21.380660069081934
0,-10.4039492,-10.40400423,21.39097017759923
0,-10.40394944,-10.4040041,21.39097017759923
0,-10.40394913,-10.40400456,21.385815123195062
1024,-10.38362985,-10.38368451,21.396125232294434
1024,-10.38362959,-10.38368394,21.380660069081934
1024,-10.38363008,-10.3836842,21.39097017759923
1024,-10.38362998,-10.38368391,21.37550501525984
1024,-10.38362979,-10.38368346,21.380660069081934
2048,-10.36330954,-10.36336383,21.39097017759923
2048,-10.36330994,-10.36336434,21.37550501525984
2048,-10.36331013,-10.36336386,21.380660069081934
2048,-10.3633095,-10.36336357,21.380660069081934
2048,-10.3633096,-10.36336405,21.3600398555398
3072,-10.34299182,-10.34304642,21.3445746984391
3072,-10.34299144,-10.34304621,21.3445746984391
3072,-10.34299136,-10.34304621,21.339419646654278
3072,-10.34299189,-10.34304624,21.3600398555398
3072,-10.34299201,-10.34304606,21.34972975051496
4096,-10.32267268,-10.3227273,21.3600398555398
4096,-10.32267224,-10.32272721,21.3445746984391
4096,-10.32267199,-10.32272666,21.34972975051496
4096,-10.32267212,-10.32272705,21.3445746984391
4096,-10.3226719,-10.32272726,21.334264595160494
5120,-10.30235219,-10.30240729,21.3445746984391
5120,-10.30235169,-10.30240704,21.354884802881863
5120,-10.30235156,-10.30240687,21.3600398555398
5120,-10.30235162,-10.302407,21.385815123195062
5120,-10.30235179,-10.30240735,21.380660069081934
6144,-10.28203305,-10.2820885,21.380660069081934
6144,-10.28203258,-10.28208824,21.365194908488775
6144,-10.2820333,-10.28208809,21.354884802881863
6144,-10.28203314,-10.28208834,21.339419646654278
6144,-10.28203299,-10.28208805,21.339419646654278
7168,-10.26171296,-10.26176889,21.3445746984391
7168,-10.26171349,-10.26176835,21.3600398555398
7168,-10.26171277,-10.26176818,21.3600398555398
7168,-10.26171234,-10.26176852,21.370349961728788
7168,-10.26171271,-10.26176835,21.3600398555398
8192,-10.2413935,-10.24144878,21.370349961728788
8192,-10.24139385,-10.24144875,21.365194908488775
8192,-10.24139347,-10.24144847,21.3445746984391
8192,-10.24139303,-10.24144889,21.354884802881863
8192,-10.24139313,-10.24144878,21.365194908488775
9216,-10.22107354,-10.22112933,21.34972975051496
9216,-10.2210733,-10.22112928,21.3445746984391
9216,-10.22107327,-10.22112919,21.3600398555398
9216,-10.22107348,-10.22112899,21.3600398555398
9216,-10.2210737,-10.22112881,21.3600398555398
10240,-10.20075375,-10.20080951,21.37550501525984
10240,-10.20075348,-10.20080964,21.380660069081934
10240,-10.20075334,-10.20080986,21.39097017759923
10240,-10.20075351,-10.20080952,21.385815123195062
10240,-10.20075384,-10.20080939,21.37550501525984
11264,-10.18043529,-10.18049026,21.354884802881863
11264,-10.18043589,-10.18049079,21.3445746984391
11264,-10.18043547,-10.18049051,21.339419646654278
11264,-10.18043561,-10.18049064,21.34972975051496
11264,-10.18043517,-10.18049032,21.3600398555398
12288,-10.1601167,-10.16017154,21.365194908488775
12288,-10.16011642,-10.16017148,21.354884802881863
12288,-10.1601169,-10.16017121,21.34972975051496
12288,-10.16011664,-10.16017213,21.32910954395775
12288,-10.16011698,-10.16017238,21.32910954395775
13312,-10.13979629,-10.13985083,21.334264595160494
13312,-10.13979644,-10.13985105,21.32910954395775
13312,-10.13979621,-10.1398509,21.32910954395775
13312,-10.13979621,-10.13985095,21.32910954395775
13312,-10.13979629,-10.13985107,21.34972975051496
