# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,Run 1,Run 2,Run 3,Run 4,Run 5
0,-10.40396122,-10.40395409,-10.40395306,-10.40395138,-10.40395103
1024,-10.38364124,-10.38363426,-10.38363286,-10.38363172,-10.38363106
2048,-10.36332104,-10.36331442,-10.36331276,-10.36331236,-10.36331103
3072,-10.34300189,-10.34299521,-10.3429934,-10.34299335,-10.34299178
4096,-10.32268236,-10.32267581,-10.32267409,-10.32267389,-10.3226724
5120,-10.30236255,-10.30235594,-10.30235383,-10.30235379,-10.30235255
6144,-10.2820437,-10.28203706,-10.28203516,-10.28203483,-10.28203314
7168,-10.261724,-10.26171795,-10.26171606,-10.26171522,-10.26171373
8192,-10.24140433,-10.24139801,-10.24139618,-10.24139565,-10.24139421
9216,-10.2210847,-10.221078,-10.22107706,-10.22107617,-10.2210747
10240,-10.20076457,-10.20075864,-10.20075763,-10.20075665,-10.20075482
11264,-10.18044506,-10.18043999,-10.18043864,-10.18043815,-10.18043668
12288,-10.16012596,-10.1601206,-10.16011991,-10.16011861,-10.1601168
13312,-10.13980544,-10.13980096,-10.1398001,-10.13979878,-10.13979704
14336,-10.11948677,-10.11948168,-10.11948073,-10.11947905,-10.11947744
15360,-10.09916782,-10.09916192,-10.09916098,-10.09915957,-10.09915852
16384,-10.0788509,-10.07884508,-10.07884374,-10.07884269,-10.07884151
17408,-10.05853125,-10.05852486,-10.05852354,-10.05852284,-10.05852113
18432,-10.03821036,-10.03820425,-10.03820242,-10.03820241,-10.03820018
19456,-10.01789151,-10.01788522,-10.01788376,-10.01788348,-10.01788163
20480,-9.9975729,-9.997567082,-9.997566994,-9.997565079,-9.997563606
21504,-9.977252963,-9.977247292,-9.97724685,-9.977245509,-9.97724358
22528,-9.956933261,-9.956927575,-9.956926795,-9.956925675,-9.956923893
23552,-9.936614045,-9.936608286,-9.936606415,-9.936606017,-9.936604441
24576,-9.916296259,-9.916290396,-9.916288864,-9.916288201,-9.916287111
25600,-9.89597638,-9.895970503,-9.895969427,-9.895968293,-9.895967557
26624,-9.875656369,-9.875650491,-9.875649637,-9.875648415,-9.875647766
27648,-9.855336932,-9.855331762,-9.85533051,-9.855329287,-9.855328786
28672,-9.835018409,-9.835013356,-9.835011589,-9.835011265,-9.835010366
29696,-9.814698633,-9.814693051,-9.814691371,-9.814691666,-9.814690576
30720,-9.794379388,-9.794373717,-9.794372598,-9.794372421,-9.794371228
31744,-9.774060202,-9.774054118,-9.774053205,-9.774053721,-9.774051938
32768,-9.753742194,-9.753736066,-9.753734814,-9.753734741,-9.753733577
33792,-9.733421933,-9.733416379,-9.73341498,-9.73341554,-9.733413536
34816,-9.713100301,-9.713095293,-9.713094232,-9.713094306,-9.713092759
35840,-9.692781807,-9.692776784,-9.692775311,-9.692775694,-9.692774192
36864,-9.672464153,-9.67245885,-9.672457392,-9.67245804,-9.672456464
37888,-9.652144171,-9.652139192,-9.652137145,-9.65213716,-9.65213685
38912,-9.631824484,-9.631819505,-9.631817546,-9.631817752,-9.631816913
39936,-9.611504797,-9.611499524,-9.611498463,-9.611498448,-9.611496902
40960,-9.591184079,-9.591179468,-9.591178614,-9.591178172,-9.591176728
41984,-9.570864672,-9.570859663,-9.570858897,-9.570858927,-9.570857469
43008,-9.550544749,-9.550539962,-9.550539048,-9.550538253,-9.550537634
44032,-9.530226373,-9.530221247,-9.530219936,-9.53021998,-9.530219096
45056,-9.509907113,-9.509902959,-9.509901295,-9.50990153,-9.509900808
46080,-9.489587455,-9.489582653,-9.489581622,-9.489580989,-9.4895804
47104,-9.469268122,-9.469263629,-9.469262789,-9.469261523,-9.469260875
48128,-9.448949142,-9.448944384,-9.448943544,-9.44894269,-9.448941659
49152,-9.428630869,-9.428626023,-9.428624933,-9.428624181,-9.428623489
50176,-9.408311005,-9.408306719,-9.408305039,-9.408304273,-9.408303625
51200,-9.38798983,-9.387985573,-9.387984115,-9.387983157,-9.387982436
52224,-9.367670998,-9.367666829,-9.367665429,-9.367664531,-9.367664059
53248,-9.347352901,-9.347349116,-9.347347701,-9.347347009,-9.34734614
54272,-9.327033067,-9.327028471,-9.32702769,-9.327026895,-9.327026129
55296,-9.306713365,-9.306709123,-9.306708121,-9.306707252,-9.306706412
56320,-9.286394017,-9.286389156,-9.286388022,-9.286387432,-9.286386696
57344,-9.266076863,-9.266071619,-9.2660705,-9.266069719,-9.266068968
58368,-9.245757147,-9.245752109,-9.245750945,-9.245750297,-9.245749325
59392,-9.225436782,-9.225431671,-9.225431111,-9.22543036,-9.225429505
60416,-9.205118126,-9.20511303,-9.205111925,-9.205111733,-9.205111115
61440,-9.184799986,-9.18479458,-9.184793829,-9.184793387,-9.184792709
62464,-9.164479209,-9.16447451,-9.164474245,-9.164473287,-9.164472433
63488,-9.144159713,-9.144154941,-9.14415522,-9.144154395,-9.14415332
64512,-9.123840144,-9.123836373,-9.123835784,-9.123834708,-9.123833751
65536,-9.103521886,-9.103517702,-9.103517305,-9.103516303,-9.103515861
66560,-9.083201698,-9.083197058,-9.083196984,-9.083196159,-9.083195231
67584,-9.062880243,-9.062875323,-9.062875205,-9.062874145,-9.062873865
68608,-9.042561867,-9.042557006,-9.042556446,-9.042556402,-9.04255515
69632,-9.022243638,-9.02223969,-9.022238807,-9.0222386,-9.022236936
70656,-9.001923362,-9.001918958,-9.001918575,-9.001918398,-9.001917043
