# INL run# wait_settle = 20# samples_per_meter_per_step = 1# NPLC = 317vref,3458A_volt,3458B_volt,F8508_volt
-10.25,-10.25002766,-10.2500592,-10.2500331
-10.0,-10.00002764,-10.0000583,-10.0000322
-9.75,-9.750026867,-9.750057185,-9.7500319
-9.5,-9.500026271,-9.500056171,-9.5000312
-9.25,-9.250025483,-9.250055202,-9.2500301
-9.0,-9.000025034,-9.000054232,-9.0000286
-8.75,-8.750024732,-8.750053072,-8.7500291
-8.5,-8.500023605,-8.500052161,-8.5000277
-8.25,-8.250022759,-8.250050942,-8.2500271
-8.0,-8.000022648,-8.000050089,-8.0000268
-7.75,-7.75002108,-7.750048211,-7.750025
-7.5,-7.500020424,-7.50004727,-7.500025
-7.25,-7.250019445,-7.250046139,-7.2500235
-7.0,-7.000019011,-7.000045258,-7.0000236
-6.75,-6.750018797,-6.750044273,-6.7500223
-6.5,-6.50001801,-6.500043142,-6.5000211
-6.25,-6.250017251,-6.250041659,-6.2500202
-6.0,-6.000016493,-6.000040572,-6.0000198
-5.75,-5.750016162,-5.750039676,-5.7500192
-5.5,-5.500015315,-5.500038574,-5.5000184
-5.25,-5.250014836,-5.250037766,-5.2500183
-5.0,-5.000013621,-5.00003599,-5.0000165
-4.75,-4.750012878,-4.7500348,-4.7500156
-4.5,-4.500012178,-4.500033625,-4.5000151
-4.25,-4.25001111,-4.25003226,-4.2500146
-4.0,-4.000010809,-4.000031437,-4.0000137
-3.75,-3.750010198,-3.75003035,-3.750013
-3.5,-3.500009616,-3.500029321,-3.5000125
-3.25,-3.250009064,-3.25002844,-3.2500112
-3.0,-3.000008526,-3.000027558,-3.0000108
-2.75,-2.750008004,-2.750026705,-2.7500107
-2.5,-2.500007201,-2.500025838,-2.500009
-2.25,-2.250005736,-2.250024326,-2.2500076
-2.0,-2.000005169,-2.000023092,-2.0000072
-1.75,-1.750004454,-1.750021976,-1.7500067
-1.5,-1.500003976,-1.500020743,-1.5000055
-1.25,-1.250003232,-1.25001967,-1.2500053
-1.0,-1.000002385,-1.000018466,-1.0000045
-0.75,-0.7500019953,-0.750017247,-0.7500038
-0.5,-0.5000011633,-0.5000160134,-0.5000028
-0.25,-0.2500003018,-0.250014384,-0.2500018
0.0,5.744880459e-07,-1.269592863e-05,-1.1e-06
0.25,0.2500016864,0.2499885377,0.2500004
0.5,0.5000024301,0.4999898592,0.5000015
0.75,0.7500030412,0.7499910782,0.7500028
1.0,1.00000377,0.9999921798,1.0000027
1.25,1.250004646,1.249993281,1.2500041
1.5,1.500005257,1.499994603,1.5000045
1.75,1.750005927,1.749995719,1.7500059
2.0,2.000006539,1.99999666,2.0000068
2.25,2.250007047,2.249997659,2.2500069
2.5,2.500008247,2.499999303,2.5000089
2.75,2.750008858,2.750000566,2.7500094
3.0,3.000009675,3.000001697,3.0000097
3.25,3.250010316,3.250002872,3.2500108
3.5,3.500010897,3.500004032,3.5000116
3.75,3.750011803,3.750005192,3.7500118
4.0,4.00001237,4.000006367,4.0000136
4.25,4.250012996,4.250007572,4.2500145
4.5,4.500013651,4.500008834,4.5000149
4.75,4.750013806,4.750010009,4.750016
5.0,5.000014535,5.000010803,5.0000168
5.25,5.250015956,5.250012535,5.2500184
5.5,5.500016773,5.500013476,5.5000186
5.75,5.750017384,5.750014563,5.7500198
6.0,6.000018157,6.000015532,6.0000204
6.25,6.250018754,6.250016619,6.2500212
6.5,6.5000196,6.500018263,6.5000225
6.75,6.750020153,6.750019292,6.7500231
7.0,7.000021397,7.000020511,7.0000241
7.25,7.250021949,7.250021524,7.2500237
7.5,7.500022531,7.500022436,7.5000254
7.75,7.750022347,7.750023566,7.7500269
8.0,8.000024151,8.000025269,8.0000277
8.25,8.250024379,8.2500264,8.2500291
8.5,8.500024975,8.500027546,8.5000299
8.75,8.750026455,8.750028794,8.7500301
9.0,9.000027022,9.000030145,9.0000308
9.25,9.25002809,9.25003132,9.2500329
9.5,9.500028657,9.500031952,9.500033
9.75,9.750028885,9.750032908,9.7500344
10.0,10.00002995,10.00003373,10.0000354
10.25,10.25003034,10.25003526,10.2500365
