time,3458B_volt
1721671698.5428858,-1.106863642e-05
1721671706.5833142,-1.108329686e-05
1721671714.6237705,-1.117125954e-05
1721671722.6642184,-1.109795731e-05
1721671730.7047443,-1.115659909e-05
1721671738.74513,-1.099533419e-05
1721671746.7857397,-1.106863642e-05
1721671754.8264992,-1.109795731e-05
1721671762.8667703,-1.105397597e-05
1721671770.9071836,-1.111261775e-05
1721671778.9474158,-1.120058043e-05
1721671786.9878285,-1.106863642e-05
1721671795.0282176,-1.11272782e-05
1721671803.0687015,-1.117125954e-05
1721671811.1092882,-1.115659909e-05
1721671819.1495864,-1.099533419e-05
1721671827.1900854,-1.125922221e-05
1721671835.2305865,-1.125922221e-05
1721671843.2709067,-1.122990132e-05
1721671851.3114302,-1.11272782e-05
1721671859.3518286,-1.11272782e-05
1721671867.3920405,-1.118591998e-05
1721671875.4326522,-1.115659909e-05
1721671883.4730024,-1.125922221e-05
1721671891.513588,-1.11272782e-05
1721671899.5541022,-1.100999464e-05
1721671907.5945575,-1.122990132e-05
1721671915.634936,-1.122990132e-05
1721671923.6755702,-1.115659909e-05
1721671931.7160065,-1.103931553e-05
1721671939.756345,-1.098067374e-05
1721671947.796817,-1.114193865e-05
1721671955.837239,-1.120058043e-05
1721671963.877523,-1.102465508e-05
1721671971.9179935,-1.11272782e-05
1721671979.958491,-1.114193865e-05
1721671987.9992428,-1.124456176e-05
1721671996.039532,-1.108329686e-05
1721672004.0799246,-1.108329686e-05
1721672012.1205552,-1.109795731e-05
1721672020.160834,-1.100999464e-05
1721672028.2013636,-1.114193865e-05
1721672036.2419987,-1.124456176e-05
1721672044.2824993,-1.121524087e-05
1721672052.3230412,-1.115659909e-05
1721672060.3635492,-1.103931553e-05
1721672068.4037533,-1.118591998e-05
1721672076.4442148,-1.106863642e-05
1721672084.4846172,-1.125922221e-05
1721672092.5250022,-1.121524087e-05
1721672100.565503,-1.133252444e-05
1721672108.6061015,-1.124456176e-05
1721672116.6466324,-1.117125954e-05
1721672124.6870627,-1.115659909e-05
1721672132.7276347,-1.114193865e-05
1721672140.768292,-1.117125954e-05
1721672148.808665,-1.114193865e-05
1721672156.8490033,-1.122990132e-05
1721672164.889738,-1.115659909e-05
1721672172.9302456,-1.106863642e-05
1721672180.9703686,-1.130320355e-05
1721672189.0109084,-1.109795731e-05
1721672197.0513587,-1.098067374e-05
1721672205.0919616,-1.11272782e-05
1721672213.1323962,-1.11272782e-05
1721672221.173013,-1.115659909e-05
1721672229.2139053,-1.111261775e-05
1721672237.254476,-1.124456176e-05
1721672245.2947721,-1.098067374e-05
1721672253.3353376,-1.111261775e-05
1721672261.3755505,-1.092203196e-05
1721672269.416099,-1.115659909e-05
1721672277.4563677,-1.103931553e-05
1721672285.496778,-1.108329686e-05
1721672293.5369606,-1.118591998e-05
1721672301.5773911,-1.098067374e-05
1721672309.6179562,-1.109795731e-05
1721672317.6581576,-1.120058043e-05
1721672325.6986887,-1.111261775e-05
1721672333.7392159,-1.121524087e-05
1721672341.7795875,-1.130320355e-05
1721672349.82034,-1.114193865e-05
1721672357.8607347,-1.127388266e-05
1721672365.9014132,-1.108329686e-05
1721672373.9421818,-1.114193865e-05
1721672381.9824493,-1.105397597e-05
1721672390.022594,-1.118591998e-05
1721672398.063183,-1.124456176e-05
1721672406.1037548,-1.115659909e-05
1721672414.1440375,-1.118591998e-05
1721672422.1845176,-1.121524087e-05
1721672430.2249513,-1.122990132e-05
