vref,3458A_volt,7081_volt
-10.0,-9.999949072,-9.9998677
-9.5,-9.499951054,-9.4998726
-9.0,-8.999953892,-8.9998845
-8.5,-8.499955579,-8.4998949
-8.0,-7.99995939,-7.9999038
-7.5,-7.499961476,-7.4999127
-7.0,-6.999964402,-6.9999239
-6.5,-6.49996693,-6.4999316
-6.0,-5.999969605,-5.99994
-5.5,-5.499971897,-5.4999492
-5.0,-4.99997444,-4.9999571
-4.5,-4.499977396,-4.4999657
-4.0,-3.999979997,-3.999974
-3.5,-3.499982658,-3.49998
-3.0,-2.999985245,-2.9999847
-2.5,-2.499987906,-2.4999885
-2.0,-1.999990301,-1.9999935
-1.5,-1.499992785,-1.499999
-1.0,-0.9999957109,-1.0000026
-0.5,-0.4999979587,-0.5000063
0.0,6.784080936e-07,-8.6e-06
0.5,0.4999988141,0.4999906
1.0,0.9999961534,0.9999896
1.5,1.499993375,1.4999878
2.0,1.999990404,1.9999853
2.5,2.499988142,2.4999851
3.0,2.999985525,2.9999837
3.5,3.499982584,3.4999835
4.0,3.99997982,3.9999828
4.5,4.499976894,4.4999812
5.0,4.999973658,4.9999814
5.5,5.499971632,5.499982
6.0,5.999968912,5.9999811
6.5,6.499966561,6.4999818
7.0,6.999963945,6.9999823
7.5,7.499960841,7.4999823
8.0,7.999958608,7.9999821
8.5,8.499955697,8.4999815
9.0,8.999952786,8.9999822
9.5,9.499950154,9.4999823
10.0,9.999947302,9.9999837
10.5,10.49994471,10.4999832
