NPLC,3458A_reading,3458B_reading
0.1,-1.472982775E-06,-5.864153716E-06
0.1, 1.472982775E-06,-5.864153716E-06
0.1,-4.418948326E-06,-8.796230575E-06
0.1, 2.945965551E-06, 1.466038429E-06
0.1,-8.837896652E-06, 5.864153716E-06
0.1,-5.891931101E-06,-1.319434586E-05
0.1,-1.472982775E-06,-1.466038429E-06
0.1,-1.031087943E-05, 0.000000000E-01
0.1,-8.837896652E-06, 1.466038429E-06
0.1, 5.891931101E-06, 2.932076858E-06
0.1, 0.000000000E-01,-1.026226900E-05
0.1,-1.472982775E-06,-1.466038429E-06
0.1,-2.945965551E-06,-1.026226900E-05
0.1,-7.364913877E-06,-1.026226900E-05
0.1, 2.945965551E-06,-5.864153716E-06
0.1,-2.945965551E-06,-1.172830743E-05
0.1, 5.891931101E-06, 5.864153716E-06
0.1, 4.418948326E-06, 0.000000000E-01
0.1, 1.472982775E-06, 1.466038429E-06
0.1, 1.472982775E-06, 5.864153716E-06
0.1, 0.000000000E-01, 1.466038429E-06
0.1, 8.837896652E-06, 1.026226900E-05
0.1,-7.364913877E-06,-2.932076858E-06
0.1,-4.418948326E-06,-5.864153716E-06
0.1, 7.364913877E-06, 0.000000000E-01
0.1,-4.418948326E-06,-1.172830743E-05
0.1, 1.472982775E-06,-1.026226900E-05
0.1, 7.364913877E-06,-7.330192145E-06
0.1,-1.472982775E-06,-4.398115287E-06
0.1, 7.364913877E-06, 5.864153716E-06
0.1,-1.031087943E-05,-2.932076858E-06
0.1, 5.891931101E-06, 0.000000000E-01
0.1,-2.945965551E-06, 8.796230575E-06
0.1,-2.945965551E-06,-4.398115287E-06
0.1,-4.418948326E-06,-1.466038429E-06
0.1,-5.891931101E-06,-5.864153716E-06
0.1,-4.418948326E-06,-1.759246115E-05
0.1,-5.891931101E-06, 2.932076858E-06
0.1,-7.364913877E-06, 8.796230575E-06
0.1,-8.837896652E-06, 0.000000000E-01
0.1,-1.031087943E-05,-5.864153716E-06
0.1, 7.364913877E-06,-8.796230575E-06
0.1,-2.945965551E-06,-1.466038429E-06
0.1,-1.472982775E-06,-4.398115287E-06
0.1,-5.891931101E-06, 1.466038429E-06
0.1,-1.472982775E-06,-1.612642272E-05
0.1, 4.418948326E-06,-1.466038429E-06
0.1, 1.472982775E-06, 2.932076858E-06
0.1,-1.031087943E-05,-8.796230575E-06
0.1, 5.891931101E-06,-8.796230575E-06
0.1,-4.418948326E-06, 0.000000000E-01
0.1,-2.945965551E-06,-5.864153716E-06
0.1,-1.472982775E-06,-2.052453801E-05
0.1, 1.472982775E-06,-2.932076858E-06
0.1, 7.364913877E-06,-1.466038429E-06
0.1, 5.891931101E-06,-4.398115287E-06
0.1,-1.472982775E-06,-1.026226900E-05
0.1,-5.891931101E-06,-7.330192145E-06
0.1,-2.945965551E-06, 4.398115287E-06
0.1, 5.891931101E-06,-1.172830743E-05
0.1,-7.364913877E-06, 0.000000000E-01
0.1, 1.472982775E-06,-4.398115287E-06
0.1, 4.418948326E-06,-1.172830743E-05
0.1,-5.891931101E-06,-5.864153716E-06
0.1, 2.945965551E-06, 1.466038429E-06
0.1, 1.472982775E-06, 0.000000000E-01
0.1,-1.472982775E-06, 4.398115287E-06
0.1, 1.031087943E-05,-4.398115287E-06
0.1, 1.472982775E-06, 5.864153716E-06
0.1, 4.418948326E-06,-1.319434586E-05
0.1,-8.837896652E-06, 1.466038429E-06
0.1, 8.837896652E-06,-4.398115287E-06
0.1,-1.472982775E-05,-5.864153716E-06
0.1, 2.945965551E-06,-2.932076858E-06
0.1,-8.837896652E-06, 2.932076858E-06
0.1, 0.000000000E-01,-4.398115287E-06
0.1,-5.891931101E-06,-4.398115287E-06
0.1, 5.891931101E-06,-8.796230575E-06
0.1, 1.472982775E-06, 0.000000000E-01
0.1,-1.031087943E-05, 0.000000000E-01
0.1,-5.891931101E-06, 0.000000000E-01
0.1, 5.891931101E-06,-2.932076858E-06
0.1, 2.945965551E-06,-1.466038429E-06
0.1,-2.945965551E-06,-2.932076858E-06
0.1,-7.364913877E-06,-5.864153716E-06
0.1, 1.472982775E-06, 1.026226900E-05
0.1, 7.364913877E-06,-5.864153716E-06
0.1,-1.031087943E-05,-8.796230575E-06
0.1,-1.472982775E-06,-1.905849958E-05
0.1, 1.472982775E-06,-7.330192145E-06
0.1, 1.472982775E-06, 2.932076858E-06
0.1,-1.178386220E-05,-1.466038429E-06
0.1,-8.837896652E-06,-4.398115287E-06
0.1,-2.945965551E-06,-2.932076858E-06
0.1, 5.891931101E-06, 2.932076858E-06
0.1, 4.418948326E-06, 5.864153716E-06
0.1,-1.178386220E-05,-5.864153716E-06
0.1,-4.418948326E-06,-1.172830743E-05
0.1, 1.472982775E-06, 1.466038429E-06
0.1,-2.945965551E-06,-4.398115287E-06
0.1, 2.945965551E-06,-1.319434586E-05
0.1,-1.472982775E-06,-5.864153716E-06
0.1, 0.000000000E-01,-1.466038429E-06
0.1, 8.837896652E-06, 2.932076858E-06
0.1,-4.418948326E-06,-5.864153716E-06
0.1,-8.837896652E-06,-5.864153716E-06
0.1, 2.945965551E-06, 0.000000000E-01
0.1, 7.364913877E-06,-7.330192145E-06
0.1, 5.891931101E-06,-8.796230575E-06
0.1,-4.418948326E-06,-1.026226900E-05
0.1,-1.472982775E-06,-1.466038429E-06
0.1,-7.364913877E-06,-1.172830743E-05
0.1,-1.031087943E-05, 0.000000000E-01
0.1,-7.364913877E-06, 5.864153716E-06
0.1,-1.178386220E-05,-4.398115287E-06
0.1, 1.472982775E-06, 4.398115287E-06
0.1,-1.031087943E-05, 2.932076858E-06
0.1,-2.945965551E-06,-8.796230575E-06
0.1,-4.418948326E-06,-5.864153716E-06
0.1, 1.472982775E-06,-1.026226900E-05
0.1, 8.837896652E-06,-5.864153716E-06
0.1, 0.000000000E-01, 8.796230575E-06
0.1, 1.472982775E-06,-5.864153716E-06
0.1, 1.325684498E-05,-1.466038429E-06
0.1,-1.472982775E-06,-2.932076858E-06
0.1,-1.472982775E-06, 4.398115287E-06
0.1,-4.418948326E-06, 2.932076858E-06
0.1,-1.472982775E-05, 5.864153716E-06
0.1,-5.891931101E-06,-2.932076858E-06
0.1, 0.000000000E-01,-1.466038429E-06
0.1,-5.891931101E-06,-5.864153716E-06
0.1,-2.945965551E-06,-4.398115287E-06
0.1, 5.891931101E-06,-1.172830743E-05
0.1, 0.000000000E-01, 7.330192145E-06
0.1,-5.891931101E-06,-4.398115287E-06
0.1,-1.472982775E-06,-5.864153716E-06
0.1,-4.418948326E-06,-7.330192145E-06
0.1,-4.418948326E-06, 0.000000000E-01
0.1, 2.945965551E-06, 2.932076858E-06
0.1, 5.891931101E-06, 4.398115287E-06
0.1,-2.945965551E-06, 2.932076858E-06
0.1,-4.418948326E-06, 4.398115287E-06
0.1, 2.945965551E-06, 1.466038429E-06
0.1,-4.418948326E-06,-5.864153716E-06
0.1, 1.472982775E-06,-5.864153716E-06
0.1, 2.945965551E-06,-1.466038429E-06
0.1,-2.945965551E-06, 1.466038429E-06
0.1,-5.891931101E-06,-4.398115287E-06
0.1, 1.472982775E-06, 4.398115287E-06
0.1, 1.472982775E-06,-4.398115287E-06
0.1, 5.891931101E-06, 7.330192145E-06
0.1, 1.472982775E-06, 0.000000000E-01
0.1,-2.945965551E-06,-2.932076858E-06
0.1,-5.891931101E-06,-1.026226900E-05
0.1,-4.418948326E-06, 8.796230575E-06
0.1,-5.891931101E-06,-1.466038429E-05
0.1, 2.945965551E-06, 0.000000000E-01
0.1,-4.418948326E-06,-7.330192145E-06
0.1, 7.364913877E-06, 2.932076858E-06
0.1, 8.837896652E-06,-8.796230575E-06
0.1, 4.418948326E-06, 0.000000000E-01
0.1,-7.364913877E-06, 1.466038429E-06
0.1, 2.945965551E-06,-1.466038429E-05
0.1,-1.472982775E-06,-5.864153716E-06
0.1, 1.472982775E-06,-1.466038429E-06
0.1, 1.178386220E-05, 4.398115287E-06
0.1,-5.891931101E-06,-1.026226900E-05
0.1, 7.364913877E-06,-4.398115287E-06
0.1, 7.364913877E-06, 4.398115287E-06
0.1,-4.418948326E-06, 5.864153716E-06
0.1, 2.945965551E-06,-1.466038429E-06
0.1, 5.891931101E-06,-1.466038429E-06
0.1, 1.031087943E-05, 1.466038429E-06
0.1, 7.364913877E-06, 5.864153716E-06
0.1, 7.364913877E-06, 7.330192145E-06
0.1,-4.418948326E-06, 2.932076858E-06
0.1,-4.418948326E-06, 0.000000000E-01
0.1,-8.837896652E-06, 0.000000000E-01
0.1,-4.418948326E-06,-1.612642272E-05
0.1, 4.418948326E-06, 1.466038429E-06
0.1,-7.364913877E-06, 0.000000000E-01
0.1, 1.325684498E-05, 0.000000000E-01
0.1, 0.000000000E-01, 1.466038429E-06
0.1, 7.364913877E-06, 0.000000000E-01
0.1,-1.472982775E-06,-1.466038429E-06
0.1,-1.472982775E-06,-5.864153716E-06
0.1, 4.418948326E-06, 0.000000000E-01
0.1,-4.418948326E-06, 8.796230575E-06
0.1, 0.000000000E-01,-5.864153716E-06
0.1,-1.178386220E-05,-1.466038429E-06
0.1, 0.000000000E-01, 1.466038429E-06
0.1,-1.472982775E-06, 1.466038429E-06
0.1,-4.418948326E-06, 5.864153716E-06
0.1,-7.364913877E-06, 1.466038429E-06
0.1, 8.837896652E-06, 5.864153716E-06
0.1, 2.945965551E-06, 1.466038429E-06
0.1, 1.031087943E-05,-4.398115287E-06
0.1,-5.891931101E-06, 5.864153716E-06
0.1, 2.945965551E-06, 4.398115287E-06
0.1,-5.891931101E-06,-1.026226900E-05
0.1,-4.418948326E-06, 2.932076858E-06
0.1,-1.178386220E-05,-4.398115287E-06
0.1,-1.472982775E-06,-5.864153716E-06
0.1,-2.945965551E-06,-1.466038429E-06
0.1, 2.945965551E-06,-1.466038429E-06
0.1, 1.031087943E-05,-1.466038429E-06
0.1, 7.364913877E-06, 0.000000000E-01
0.1,-1.472982775E-06,-1.466038429E-05
0.1,-4.418948326E-06, 8.796230575E-06
0.1,-5.891931101E-06,-7.330192145E-06
0.1, 1.472982775E-06, 1.466038429E-06
0.1,-4.418948326E-06, 1.026226900E-05
0.1,-5.891931101E-06, 4.398115287E-06
0.1, 5.891931101E-06,-4.398115287E-06
0.1, 1.472982775E-06,-1.172830743E-05
0.1,-1.178386220E-05, 0.000000000E-01
0.1,-1.472982775E-06, 0.000000000E-01
0.1, 2.945965551E-06, 2.932076858E-06
0.1,-2.945965551E-06,-5.864153716E-06
0.1,-4.418948326E-06,-4.398115287E-06
0.1,-2.945965551E-06, 0.000000000E-01
0.1, 2.945965551E-06,-5.864153716E-06
0.1, 0.000000000E-01, 0.000000000E-01
0.1,-4.418948326E-06, 4.398115287E-06
0.1, 5.891931101E-06,-5.864153716E-06
0.1, 2.945965551E-06,-5.864153716E-06
