"Time","3458B"
1663398480000,9.99630479
1663398580000,9.99630461
1663398690000,9.99630464
1663398790000,9.99630499
1663398900000,9.99630444
1663399000000,9.99630403
1663399100000,9.99630417
1663399210000,9.99630458
1663399310000,9.99630469
1663399420000,9.99630486
1663399520000,9.99630483
1663399630000,9.99630445
1663399730000,9.99630435
1663399840000,9.99630429
1663399940000,9.99630413
1663400050000,9.99630441
1663400150000,9.99630452
1663400260000,9.99630473
1663401020000,9.99630499
1663401130000,9.99630489
1663401230000,9.99630508
1663401340000,9.99630486
1663401440000,9.99630496
1663401550000,9.99630452
1663401650000,9.99630463
1663401760000,9.99630474
1663401860000,9.99630482
1663401970000,9.9963047
1663402070000,9.99630477
1663402180000,9.99630463
1663402280000,9.99630479
1663402390000,9.99630461
1663402490000,9.99630463
1663402590000,9.99630395
1663402700000,9.99630407
1663402800000,9.99630427
1663402910000,9.99630404
1663403010000,9.99630436
1663403120000,9.99630404
1663403220000,9.9963043
1663403330000,9.99630445
1663403430000,9.99630403
1663403540000,9.99630445
1663403640000,9.99630416
1663403750000,9.99630438
1663403850000,9.9963042
1663403960000,9.99630451
1663404060000,9.9963041
1663404170000,9.99630403
1663404270000,9.99630413
1663404380000,9.99630407
1663404480000,9.99630401
1663404590000,9.99630367
1663404690000,9.99630417
1663404800000,9.99630363
1663404900000,9.99630361
1663405010000,9.99630391
1663405110000,9.99630432
1663405210000,9.99630413
1663405320000,9.99630423
1663405420000,9.9963041
1663405530000,9.99630463
1663405630000,9.9963041
1663405740000,9.99630403
1663405840000,9.99630414
1663405950000,9.99630436
1663406050000,9.99630373
1663406160000,9.99630336
1663406260000,9.99630356
1663406370000,9.99630381
1663406470000,9.99630403
1663406580000,9.99630392
1663406680000,9.99630381
1663406790000,9.99630361
1663406890000,9.99630359
1663407000000,9.9963036
1663407100000,9.99630348
1663407210000,9.99630359
1663407310000,9.99630383
1663407420000,9.99630351
1663407520000,9.99630356
1663407630000,9.99630354
1663407730000,9.9963035
1663407830000,9.99630407
1663407940000,9.996304
1663408040000,9.99630389
1663408150000,9.99630357
1663408460000,9.9963053
1663408570000,9.99630495
1663408670000,9.9963054
1663408780000,9.99630517
1663408880000,9.9963053
1663408990000,9.99630473
1663409090000,9.99630435
1663409200000,9.99630482
1663409300000,9.9963049
1663409410000,9.99630492
1663409510000,9.99630498
1663409620000,9.99630486
1663409720000,9.99630488
1663409830000,9.99630477
1663409930000,9.99630477
1663410040000,9.99630505
1663410140000,9.99630468
1663410250000,9.99630448
1663410350000,9.99630458
1663410450000,9.99630441
1663410560000,9.99630448
1663410660000,9.99630454
1663410770000,9.99630471
1663410870000,9.9963043
1663410980000,9.99630463
1663411080000,9.99630457
1663411190000,9.99630457
1663411290000,9.99630464
1663411400000,9.99630464
1663411500000,9.99630457
1663411610000,9.99630471
1663411710000,9.99630446
1663411820000,9.99630482
1663411920000,9.99630468
1663412030000,9.99630501
1663412130000,9.99630461
1663412240000,9.99630438
1663412340000,9.99630471
1663412450000,9.99630423
1663412550000,9.99630463
1663412660000,9.99630422
1663412760000,9.99630416
1663412870000,9.99630439
1663412970000,9.99630449
1663413070000,9.9963043
1663413180000,9.99630378
1663413280000,9.99630404
1663413390000,9.99630389
1663413490000,9.99630353
1663413600000,9.9963036
1663413700000,9.99630357
1663413810000,9.99630423
1663413910000,9.99630423
1663414020000,9.99630423
1663414120000,9.99630442
1663414230000,9.99630467
1663414330000,9.99630479
1663414440000,9.99630488
1663414540000,9.99630448
1663414650000,9.99630457
1663414750000,9.99630449
1663414860000,9.99630458
1663414960000,9.99630461
1663415070000,9.99630442
1663415170000,9.9963041
1663415280000,9.99630378
1663415380000,9.99630379
1663415490000,9.9963041
1663415800000,9.99630589
1663415900000,9.99630608
1663416010000,9.99630586
1663416110000,9.99630589
1663416220000,9.99630549
1663416320000,9.9963051
1663416430000,9.99630534
1663416530000,9.99630484
1663416640000,9.99630473
1663416740000,9.99630439
1663416850000,9.99630405
1663416950000,9.99630392
1663417060000,9.99630401
1663417160000,9.99630391
1663417270000,9.99630405
1663417370000,9.99630441
1663417480000,9.99630417
1663417580000,9.99630416
1663417690000,9.99630401
1663417790000,9.99630449
1663417900000,9.99630436
1663418000000,9.99630416
1663418110000,9.99630438
1663418210000,9.99630471
1663418310000,9.99630448
1663418420000,9.99630512
1663418520000,9.99630483
1663418630000,9.99630458
1663418730000,9.99630454
1663418840000,9.99630457
1663418940000,9.9963052
1663419050000,9.99630499
1663419150000,9.99630546
1663419260000,9.99630559
1663419360000,9.99630539
1663419470000,9.99630561
1663419570000,9.99630539
1663419680000,9.99630507
1663419780000,9.99630504
1663419890000,9.99630482
1663419990000,9.99630549
1663420100000,9.99630508
1663420200000,9.9963054
1663420310000,9.99630505
1663420410000,9.99630477
1663420520000,9.99630502
1663420620000,9.9963048
1663420730000,9.99630508
1663420830000,9.99630536
1663420930000,9.99630539
1663421040000,9.99630501
1663421140000,9.99630549
1663421250000,9.99630558
1663421350000,9.99630532
1663421460000,9.99630571
1663421560000,9.99630571
1663421670000,9.99630565
1663421770000,9.99630565
1663421880000,9.99630524
1663421980000,9.99630539
1663422090000,9.99630552
1663422190000,9.99630574
1663422300000,9.99630614
1663422400000,9.99630612
1663422510000,9.99630617
1663422610000,9.99630583
1663422720000,9.99630558
1663422820000,9.99630574
1663422930000,9.99630602
1663423240000,9.99630467
1663423350000,9.99630497
1663423450000,9.99630433
1663423550000,9.99630458
1663423660000,9.99630423
1663423760000,9.99630477
1663423870000,9.99630433
1663423970000,9.99630424
1663424080000,9.99630414
1663424180000,9.99630433
1663424290000,9.99630442
1663424390000,9.99630461
1663424500000,9.99630462
1663424600000,9.99630436
1663424710000,9.99630459
1663424810000,9.99630487
1663424920000,9.99630484
1663425020000,9.99630474
1663425130000,9.99630449
1663425230000,9.99630446
1663425340000,9.99630445
1663425440000,9.99630462
1663425550000,9.99630443
1663425650000,9.99630429
1663425760000,9.99630461
1663425860000,9.99630429
1663425970000,9.99630442
1663426070000,9.9963043
1663426170000,9.99630437
1663426280000,9.99630461
1663426380000,9.99630408
1663426490000,9.99630462
1663426590000,9.99630455
1663426700000,9.99630486
1663426800000,9.99630505
1663426910000,9.99630445
1663427010000,9.99630452
1663427120000,9.9963044
1663427220000,9.99630415
1663427330000,9.99630413
1663427430000,9.99630393
1663427540000,9.99630417
1663427640000,9.99630388
1663427750000,9.99630327
1663427850000,9.99630423
1663427960000,9.99630429
1663428060000,9.99630456
1663428170000,9.99630462
1663428270000,9.99630477
1663428380000,9.99630426
1663428480000,9.99630435
1663428590000,9.99630415
1663428690000,9.99630417
1663428790000,9.99630391
1663428900000,9.99630373
1663429000000,9.99630398
1663429110000,9.99630388
1663429210000,9.99630388
1663429320000,9.99630389
1663429420000,9.99630391
1663429530000,9.99630401
1663429630000,9.99630414
1663429740000,9.99630389
1663429840000,9.99630389
1663429950000,9.99630402
1663430050000,9.99630383
1663430160000,9.99630396
1663430260000,9.99630452
1663430370000,9.99630413
1663430580000,9.99630381
1663430680000,9.99630398
1663430790000,9.99630419
1663430890000,9.99630366
1663431000000,9.99630373
1663431100000,9.99630367
1663431210000,9.99630386
1663431310000,9.99630395
1663431410000,9.99630401
1663431520000,9.99630375
1663431620000,9.99630405
1663431730000,9.99630401
1663431830000,9.99630414
1663431940000,9.9963041
1663432040000,9.99630407
1663432150000,9.99630451
1663432250000,9.9963041
1663432360000,9.99630422
1663432460000,9.99630389
1663432570000,9.99630347
1663432670000,9.99630382
1663432780000,9.99630381
1663432880000,9.996304
1663432990000,9.99630398
1663433090000,9.99630383
1663433200000,9.99630385
1663433300000,9.99630383
1663433410000,9.99630356
1663433510000,9.99630369
1663433620000,9.99630376
1663433720000,9.99630413
1663433830000,9.99630373
1663433930000,9.99630351
1663434030000,9.99630391
1663434140000,9.99630401
1663434240000,9.9963036
1663434350000,9.99630357
