vref,hpm1_counts,hpm2_counts
-10.0,668818582.7602,667347141.2359
-10.0,668818390.6216,667346895.4759
-10.0,668818398.0413,667346877.6467
-10.0,668818295.0411,667346764.3858
-10.0,668818277.5124,667346707.1241
-10.0,668818238.0276,667346693.5057
-10.0,668818266.2315,667346758.2826
-10.0,668818276.6098,667346754.9046
-10.0,668818228.1817,667346693.0863
-10.0,668818234.119,667346745.3162
-10.0,668818299.9379,667346801.0381
-10.0,668818265.0931,667346713.7129
-10.0,668818244.7152,667346738.9618
-10.0,668818314.4066,667346720.0146
-10.0,668818282.9102,667346786.7097
-10.0,668818309.8813,667346735.2286
-10.0,668818307.7713,667346773.8393
-10.0,668818300.0173,667346751.2514
-10.0,668818338.6167,667346734.4712
-10.0,668818295.291,667346754.6427
-10.0,668818300.2858,667346846.5146
-10.0,668818338.206,667346723.8251
-10.0,668818297.1776,667346764.5189
-10.0,668818255.0227,667346692.1742
-10.0,668818301.8544,667346741.8234
-10.0,668818283.3063,667346713.0117
-10.0,668818347.7517,667346717.4703
-10.0,668818292.9895,667346710.3399
-10.0,668818216.8264,667346648.1378
-10.0,668818311.1342,667346646.5089
-10.0,668818316.7333,667346678.4958
-10.0,668818223.7759,667346655.7683
-10.0,668818233.2548,667346664.8652
-10.0,668818325.4125,667346707.7456
-10.0,668818286.9649,667346681.1611
-10.0,668818303.0472,667346731.1766
-10.0,668818285.729,667346721.7505
-10.0,668818257.1486,667346755.645
-10.0,668818318.8118,667346698.8738
-10.0,668818289.4235,667346723.5012
-10.0,668818265.7602,667346679.1809
-10.0,668818289.1328,667346672.0778
-10.0,668818336.1614,667346721.2354
-10.0,668818301.4946,667346641.987
-10.0,668818295.6969,667346677.0319
-10.0,668818328.0465,667346690.8377
-10.0,668818257.4894,667346676.126
-10.0,668818265.2046,667346716.1972
-10.0,668818280.805,667346711.4787
-10.0,668818355.4267,667346756.795
-10.0,668818357.7094,667346739.3192
-10.0,668818319.1957,667346705.6358
-10.0,668818287.5399,667346688.2357
-10.0,668818368.688,667346720.2868
-10.0,668818313.7605,667346716.1751
-10.0,668818237.5755,667346675.4288
-10.0,668818284.7096,667346700.5749
-10.0,668818228.6281,667346741.446
-10.0,668818298.3422,667346787.3818
-10.0,668818279.4172,667346741.4588
-10.0,668818275.5345,667346750.3195
-10.0,668818257.1339,667346787.0586
-10.0,668818193.0471,667346642.2842
-10.0,668818280.2501,667346692.8589
-10.0,668818284.5849,667346730.811
-10.0,668818264.2501,667346683.3616
-10.0,668818285.4425,667346727.338
-10.0,668818301.5539,667346685.77
-10.0,668818273.3982,667346660.7683
-10.0,668818299.5141,667346729.8079
-10.0,668818228.2437,667346705.7516
-10.0,668818222.4678,667346756.5366
-10.0,668818259.3078,667346825.6105
-10.0,668818301.747,667346793.8264
-10.0,668818249.0542,667346781.0675
-10.0,668818228.9912,667346781.0644
-10.0,668818264.4111,667346842.7889
-10.0,668818253.4057,667346728.4213
-10.0,668818198.8192,667346826.9161
-10.0,668818272.5958,667346786.0937
-10.0,668818209.8609,667346706.6837
-10.0,668818239.184,667346784.0912
-10.0,668818256.3487,667346714.2951
-10.0,668818289.0089,667346729.2285
-10.0,668818164.2658,667346676.5857
-10.0,668818243.3825,667346704.5289
-10.0,668818220.1265,667346684.7621
-10.0,668818234.9979,667346740.3042
-10.0,668818235.369,667346694.1706
-10.0,668818288.8814,667346722.043
-10.0,668818268.7315,667346680.4477
-10.0,668818230.4164,667346690.4041
-10.0,668818242.4153,667346698.6099
-10.0,668818288.0358,667346694.8661
-10.0,668818292.5737,667346689.9401
-10.0,668818292.6721,667346725.3494
-10.0,668818296.7498,667346727.2875
-10.0,668818334.9535,667346682.1191
-10.0,668818320.0493,667346699.7112
-10.0,668818342.443,667346688.3165
-9.5,742749852.1481,741351207.5645
-9.5,742749866.3529,741351239.4982
-9.5,742749869.5399,741351252.1514
-9.5,742749816.0784,741351244.6539
-9.5,742749842.1914,741351307.3946
-9.5,742749781.2962,741351278.9492
-9.5,742749898.9021,741351303.4323
-9.5,742749814.1677,741351256.9315
-9.5,742749822.1212,741351319.2629
-9.5,742749799.7113,741351211.321
-9.5,742749787.3657,741351270.5925
-9.5,742749755.0892,741351292.026
-9.5,742749805.2642,741351265.3651
-9.5,742749791.5367,741351257.5344
-9.5,742749824.3905,741351234.3635
-9.5,742749833.1676,741351267.1461
-9.5,742749788.408,741351203.5309
-9.5,742749840.101,741351215.8379
-9.5,742749770.6147,741351229.1593
-9.5,742749799.54,741351236.0799
-9.5,742749837.5553,741351284.1337
-9.5,742749814.7809,741351284.0774
-9.5,742749766.4878,741351271.2189
-9.5,742749763.2404,741351284.0107
-9.5,742749757.7174,741351211.5258
-9.5,742749762.5535,741351210.6327
-9.5,742749821.1237,741351200.7009
-9.5,742749783.8586,741351188.4736
-9.5,742749857.7169,741351252.5978
-9.5,742749846.1255,741351284.4259
-9.5,742749776.5081,741351238.1692
-9.5,742749716.9097,741351203.2758
-9.5,742749772.7785,741351304.6711
-9.5,742749737.4732,741351208.9909
-9.5,742749691.4033,741351213.3971
-9.5,742749792.021,741351233.5968
-9.5,742749852.6594,741351290.1648
-9.5,742749715.2753,741351243.2702
-9.5,742749822.6026,741351274.4211
-9.5,742749773.9017,741351292.6337
-9.5,742749755.9261,741351307.8959
-9.5,742749757.3,741351242.896
-9.5,742749830.4142,741351334.3518
-9.5,742749746.9768,741351259.7104
-9.5,742749712.9762,741351290.8982
-9.5,742749790.7683,741351327.2535
-9.5,742749695.6058,741351232.2142
-9.5,742749730.091,741351260.0576
-9.5,742749702.846,741351226.4497
-9.5,742749705.4685,741351244.5424
-9.5,742749702.6182,741351294.9097
-9.5,742749749.5982,741351266.14
-9.5,742749761.4493,741351286.1672
-9.5,742749784.295,741351248.6374
-9.5,742749722.7029,741351225.8112
-9.5,742749780.4525,741351267.9659
-9.5,742749812.4105,741351208.3108
-9.5,742749724.1715,741351191.6894
-9.5,742749741.8097,741351207.1004
-9.5,742749742.1714,741351265.7921
-9.5,742749715.3862,741351228.0815
-9.5,742749731.83,741351252.3504
-9.5,742749772.9461,741351234.8174
-9.5,742749694.8268,741351244.2005
-9.5,742749791.1283,741351269.6629
-9.5,742749786.4857,741351256.365
-9.5,742749783.0542,741351260.2124
-9.5,742749740.6714,741351230.0497
-9.5,742749742.2684,741351291.7784
-9.5,742749704.23,741351207.3298
-9.5,742749694.7348,741351210.6935
-9.5,742749720.6107,741351279.3738
-9.5,742749768.2526,741351318.7664
-9.5,742749671.3307,741351243.8687
-9.5,742749731.7029,741351251.1452
-9.5,742749725.6531,741351219.7483
-9.5,742749741.9915,741351209.8185
-9.5,742749798.0553,741351253.1374
-9.5,742749787.4177,741351206.3428
-9.5,742749714.0806,741351196.2877
-9.5,742749709.4894,741351159.7295
-9.5,742749732.8556,741351212.0422
-9.5,742749768.1061,741351264.0648
-9.5,742749752.2988,741351232.6698
-9.5,742749685.5336,741351247.839
-9.5,742749717.9594,741351225.759
-9.5,742749712.4086,741351256.0147
-9.5,742749696.9737,741351227.8754
-9.5,742749714.5681,741351265.713
-9.5,742749764.1153,741351323.0939
-9.5,742749753.5788,741351188.1274
-9.5,742749793.1129,741351235.7847
-9.5,742749798.024,741351197.6871
-9.5,742749806.0492,741351277.0573
-9.5,742749808.8187,741351201.2603
-9.5,742749845.8627,741351265.8024
-9.5,742749786.0707,741351261.9434
-9.5,742749670.6208,741351259.4081
-9.5,742749627.0867,741351152.4577
-9.5,742749702.8848,741351192.852
-9.0,816680933.6321,815355269.5139
-9.0,816680985.8316,815355300.7421
-9.0,816680952.3691,815355306.6225
-9.0,816680961.7355,815355280.8213
-9.0,816680935.5852,815355241.6538
-9.0,816680964.577,815355266.6392
-9.0,816681068.3787,815355258.1314
-9.0,816680968.1695,815355229.2932
-9.0,816680983.6296,815355282.9956
-9.0,816680992.8733,815355243.2975
-9.0,816681012.9644,815355345.753
-9.0,816680973.9962,815355272.2624
-9.0,816680968.403,815355237.633
-9.0,816680980.8221,815355264.7766
-9.0,816681033.1389,815355329.9411
-9.0,816680972.6051,815355301.6024
-9.0,816680965.103,815355242.9369
-9.0,816680919.142,815355201.9452
-9.0,816680952.5109,815355231.5639
-9.0,816680952.6114,815355189.38
-9.0,816680957.2085,815355283.2825
-9.0,816680936.7386,815355269.3412
-9.0,816681012.6658,815355296.1649
-9.0,816680918.2098,815355264.993
-9.0,816680965.1532,815355234.9846
-9.0,816680891.2062,815355258.1307
-9.0,816680953.106,815355263.8107
-9.0,816680907.1718,815355250.4414
-9.0,816680973.6243,815355263.6905
-9.0,816680979.3035,815355347.5511
-9.0,816680993.8004,815355260.9349
-9.0,816680995.4965,815355269.8887
-9.0,816680981.8736,815355211.6451
-9.0,816680940.8262,815355265.6128
-9.0,816680972.5837,815355326.326
-9.0,816681022.2962,815355322.3486
-9.0,816680999.7275,815355294.8767
-9.0,816680941.9229,815355314.1301
-9.0,816681051.3704,815355319.1602
-9.0,816680993.907,815355250.5626
-9.0,816680933.2515,815355250.838
-9.0,816680925.0211,815355213.7338
-9.0,816680934.9871,815355241.842
-9.0,816680963.3497,815355241.5105
-9.0,816680974.3505,815355282.8858
-9.0,816680977.3456,815355244.3082
-9.0,816680942.1653,815355214.8267
-9.0,816680935.2584,815355235.7043
-9.0,816680971.2094,815355245.2346
-9.0,816680927.7236,815355199.9506
-9.0,816680966.071,815355259.5737
-9.0,816680947.0918,815355300.105
-9.0,816680939.8217,815355286.1727
-9.0,816680979.5019,815355281.194
-9.0,816681014.1794,815355298.2652
