vref,3458A_volt,3458B_volt
-10.0,-9.999998224,-9.999998501
-9.5,-9.499998549,-9.49999849
-9.0,-8.999998462,-8.999999051
-8.5,-8.49999889,-8.499999436
-8.0,-7.999999142,-7.999999953
-7.5,-7.499998774,-7.499999444
-7.0,-6.99999935,-6.99999999
-6.5,-6.49999941,-6.500000536
-6.0,-5.999999721,-6.000000526
-5.5,-5.499999796,-5.500000823
-5.0,-4.999999885,-5.000000885
-4.5,-4.49999971,-4.500001167
-4.0,-4.00000002,-4.000001626
-3.5,-3.500000272,-3.500001688
-3.0,-3.000000715,-3.000001809
-2.5,-2.50000076,-2.50000196
-2.0,-2.00000029,-2.000001773
-1.5,-1.500000659,-1.500001806
-1.0,-1.000000675,-1.000002001
-0.5,-0.5000007206,-0.5000020046
0.0,3.977004538e-07,-5.86414593e-07
0.5,0.5000008384,0.4999997323
1.0,1.000000528,0.9999993179
1.5,1.500000203,1.499998889
2.0,1.99999973,1.999998577
2.5,2.499999699,2.499998544
3.0,2.999999433,2.999998467
3.5,3.499998902,3.499998141
4.0,3.999998694,3.999997726
4.5,4.499998399,4.499997429
5.0,4.999997823,4.999997264
5.5,5.49999791,5.499997436
6.0,5.999997467,5.99999711
6.5,6.499996759,6.499996607
7.0,6.999996551,6.999996413
7.5,7.499996108,7.499995867
8.0,7.999996549,7.9999962
8.5,8.499996327,8.499995932
9.0,8.999995766,8.999995709
9.5,9.499995544,9.499995514
10.0,9.999995499,9.999995056
