date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
09202021-23:43:29;-10.900000000;-10.899999640;-10.899998660;0.000000000;0.000000000;4.9277e-07;4.49296e-07;0;0;36.9;37.3
09202021-23:43:50;-10.800000000;-10.799998240;-10.799997600;0.000000000;0.000000000;8.65384e-08;2.82843e-08;0;0;36.9;37.3
09202021-23:44:12;-10.700000000;-10.699997570;-10.699997730;0.000000000;0.000000000;2.61916e-07;2.29928e-07;0;0;36.9;37.3
09202021-23:44:34;-10.600000000;-10.599998260;-10.599998430;0.000000000;0.000000000;8.98146e-08;1.28323e-07;0;0;36.9;37.3
09202021-23:44:56;-10.500000000;-10.499998470;-10.499997900;0.000000000;0.000000000;2.0548e-08;1.20277e-07;0;0;36.9;37.3
09202021-23:45:17;-10.400000000;-10.399998250;-10.399998080;0.000000000;0.000000000;8.57645e-08;1.69378e-07;0;0;36.9;37.3
09202021-23:45:39;-10.300000000;-10.299998410;-10.299998090;0.000000000;0.000000000;1.58395e-07;3.29983e-08;0;0;36.9;37.3
09202021-23:46:01;-10.200000000;-10.199998590;-10.199998220;0.000000000;0.000000000;5.79272e-08;1.30213e-07;0;0;36.9;37.3
09202021-23:46:22;-10.100000000;-10.099998540;-10.099998260;0.000000000;0.000000000;7.87401e-08;8.65384e-08;0;0;36.9;37.3
09202021-23:46:44;-10.000000000;-9.999998415;-9.999997988;0.000000000;0.000000000;1.46379e-07;6.65783e-08;0;0;36.9;37.3
09202021-23:47:05;-9.900000000;-9.899998359;-9.899997997;0.000000000;0.000000000;2.27658e-07;1.92919e-07;0;0;36.9;37.3
09202021-23:47:27;-9.800000000;-9.799998849;-9.799998447;0.000000000;0.000000000;1.31733e-07;1.1646e-07;0;0;36.9;37.3
09202021-23:47:49;-9.700000000;-9.699998616;-9.699998280;0.000000000;0.000000000;1.80574e-07;1.83163e-07;0;0;36.9;37.3
09202021-23:48:10;-9.600000000;-9.599998280;-9.599998026;0.000000000;0.000000000;1.44693e-07;1.19812e-07;0;0;36.9;37.3
