vref,hpm1_counts,hpm2_counts
-10.5,594886005.1079,593342834.9765
-10.4,609672069.2579,608143351.3406
-10.3,624458460.0978,622944356.8236
-10.2,639244978.2779,637745304.4886
-10.1,654031232.1617,652546396.7321
-10.0,668817759.098,667347297.3734
-9.9,683604102.7645,682148231.6491
-9.8,698390425.8005,696949164.3317
-9.7,713176751.7199,711749990.0371
-9.6,727963056.1884,726550813.5836
-9.5,742749346.8646,741351739.3285
-9.4,757535533.9561,756152453.2241
-9.3,772321737.9513,770953157.0128
-9.2,787108077.2139,785754155.4314
-9.1,801894273.6634,800554927.351
-9.0,816680623.276,815355752.3947
-8.9,831466912.4082,830156550.3667
-8.8,846253180.9698,844957469.9491
-8.7,861039412.7751,859758175.7892
-8.6,875825675.7334,874559073.6617
-8.5,890612077.4779,889359820.5279
-8.4,905398272.2067,904160684.7742
-8.3,920184642.0182,918961489.4945
-8.2,934970965.7868,933762278.9385
-8.1,949757288.337,948563069.2071
-8.0,964543648.774,963363940.628
-7.9,979330137.7737,978164772.5256
-7.8,994116439.7223,992965649.5479
-7.7,1008902812.1564,1007766463.4093
-7.6,1023689188.6878,1022567333.6596
-7.5,1038475415.9856,1037368091.8579
-7.4,1053261722.3386,1052168972.6165
-7.3,1068048146.0019,1066969747.0603
-7.2,1082834544.5199,1081770688.7032
-7.1,1097620908.2243,1096571457.2327
-7.0,1112407186.6726,1111372273.6236
-6.9,1127193464.3212,1126173089.1056
-6.8,1141979565.077,1140973851.8534
-6.7,1156765887.2603,1155774630.628
-6.6,1171552350.1068,1170575564.5786
-6.5,1186338614.7906,1185376378.6546
-6.4,1201124874.6119,1200177199.7661
-6.3,1215911106.9344,1214977979.353
-6.2,1230697540.7616,1229778867.884
-6.1,1245483790.6326,1244579766.1248
-6.0,1260270162.4622,1259380527.2494
-5.9,1275056464.936,1274181322.3587
-5.8,1289842888.1854,1288982275.4408
-5.7,1304629107.5085,1303783094.43
-5.6,1319415439.4043,1318583948.0195
-5.5,1334201708.1802,1333384709.5856
-5.4,1348988048.7824,1348185651.5301
-5.3,1363774368.5963,1362986406.5528
-5.2,1378560727.7606,1377787232.0802
-5.1,1393346983.7963,1392587980.4293
-5.0,1408133291.2104,1407388912.7972
-4.9,1422919669.4186,1422189790.168
-4.8,1437705895.4101,1436990579.4031
-4.7,1452492194.936,1451791391.0303
-4.6,1467278482.3301,1466592186.6737
-4.5,1482064879.8931,1481393112.5984
-4.4,1496851113.9669,1496193913.6382
-4.3,1511637531.335,1510994738.8263
-4.2,1526423724.6539,1525795530.011
-4.1,1541210116.886,1540596424.1889
-4.0,1555996304.0291,1555397129.8032
-3.9,1570782616.0773,1570197960.3195
-3.8,1585568923.5674,1584998810.8284
-3.7,1600355334.745,1599799741.2065
-3.6,1615141513.8885,1614600485.0402
-3.5,1629927821.4884,1629401295.7146
-3.4,1644714087.2461,1644202106.0806
-3.3,1659500474.772,1659002986.5283
-3.2,1674286757.4109,1673803812.8845
-3.1,1689073014.7613,1688604614.2894
-3.0,1703859354.3383,1703405401.4103
-2.9,1718645624.3718,1718206228.8192
-2.8,1733432003.233,1733007127.4318
-2.7,1748218238.8645,1747807931.6392
-2.6,1763004577.2137,1762608742.1081
-2.5,1777790907.4923,1777409591.5866
-2.4,1792577302.5509,1792210491.1622
-2.3,1807363679.0265,1807011381.5865
-2.2,1822149905.8093,1821812166.2131
-2.1,1836936287.4944,1836613001.4021
-2.0,1851722634.5165,1851414012.0127
-1.9,1866509037.825,1866214856.439
-1.8,1881295315.6122,1881015721.9322
-1.7,1896081632.3497,1895816477.906
-1.6,1910868083.1302,1910617443.2449
-1.5,1925654337.3826,1925418267.9765
-1.4,1940440790.5314,1940219142.8081
-1.3,1955227087.5356,1955019989.4171
-1.2,1970013535.7646,1969820945.9889
-1.1,1984799825.1319,1984621771.359
-1.0,1999586190.2986,1999422652.1693
-0.9,2014372483.9795,2014223427.415
-0.8,2029158830.9378,2029024307.456
-0.7,2043945316.5584,2043825251.0125
-0.6,2058731679.9152,2058626143.4492
-0.5,2073517986.1375,2073426970.9794
-0.4,2088304364.5677,2088227897.871
